Name,Team,Number,Position,Age,Height,Weight,College,Salary
tiago splitter,atlanta hawks,11.0,c,31.0,6-11,245.0,unknown,9756250.0
walter tavares,atlanta hawks,22.0,c,24.0,7-3,260.0,unknown,1000000.0
jeff teague,atlanta hawks,0.0,pg,27.0,6-2,186.0,wake forest,8000000.0
nicolas batum,charlotte hornets,5.0,sg,27.0,6-8,200.0,unknown,2839073.0
troy daniels,charlotte hornets,30.0,sg,24.0,6-4,205.0,virginia commonwealth,947276.0
jorge gutierrez,charlotte hornets,12.0,pg,27.0,6-3,189.0,california,189455.0
tyler hansbrough,charlotte hornets,50.0,pf,30.0,6-9,250.0,north carolina,947276.0
aaron harrison,charlotte hornets,9.0,sg,21.0,6-6,210.0,kentucky,525093.0
spencer hawes,charlotte hornets,0.0,pf,28.0,7-1,245.0,washington,6110034.0
al jefferson,charlotte hornets,25.0,c,31.0,6-10,289.0,unknown,2839073.0
frank kaminsky iii,charlotte hornets,44.0,c,23.0,7-0,240.0,wisconsin,2612520.0
michael kidd-gilchrist,charlotte hornets,14.0,sf,22.0,6-7,232.0,kentucky,6331404.0
jeremy lamb,charlotte hornets,3.0,sg,24.0,6-5,185.0,connecticut,3034356.0
courtney lee,charlotte hornets,1.0,sg,30.0,6-5,200.0,western kentucky,5675000.0
jeremy lin,charlotte hornets,7.0,pg,27.0,6-3,200.0,harvard,2139000.0
kemba walker,charlotte hornets,15.0,pg,26.0,6-1,184.0,connecticut,2839073.0
marvin williams,charlotte hornets,2.0,pf,29.0,6-9,237.0,north carolina,7000000.0
cody zeller,charlotte hornets,40.0,c,23.0,7-0,240.0,indiana,4204200.0
chris bosh,miami heat,1.0,pf,32.0,6-11,235.0,georgia tech,2839073.0
luol deng,miami heat,9.0,sf,31.0,6-9,220.0,duke,2839073.0
goran dragic,miami heat,7.0,pg,30.0,6-3,190.0,unknown,2839073.0
gerald green,miami heat,14.0,sf,30.0,6-7,205.0,unknown,947276.0
udonis haslem,miami heat,40.0,pf,36.0,6-8,235.0,florida,2854940.0
joe johnson,miami heat,2.0,sf,34.0,6-7,240.0,arkansas,261894.0
tyler johnson,miami heat,8.0,sg,24.0,6-4,186.0,fresno state,845059.0
josh mcroberts,miami heat,4.0,pf,29.0,6-10,240.0,duke,5543725.0
josh richardson,miami heat,0.0,sg,22.0,6-6,200.0,tennessee,525093.0
amar'e stoudemire,miami heat,5.0,pf,33.0,6-10,245.0,unknown,947276.0
dwyane wade,miami heat,3.0,sg,34.0,6-4,220.0,marquette,2839073.0
briante weber,miami heat,12.0,pg,23.0,6-2,165.0,virginia commonwealth,2839073.0
hassan whiteside,miami heat,21.0,c,26.0,7-0,265.0,marshall,981348.0
justise winslow,miami heat,20.0,sf,20.0,6-7,225.0,duke,2481720.0
dorell wright,miami heat,11.0,sf,30.0,6-9,205.0,unknown,2839073.0
dewayne dedmon,orlando magic,3.0,c,26.0,7-0,245.0,usc,947276.0
evan fournier,orlando magic,10.0,sg,23.0,6-7,205.0,unknown,2288205.0
aaron gordon,orlando magic,0.0,pf,20.0,6-9,220.0,arizona,4171680.0
mario hezonja,orlando magic,23.0,sg,21.0,6-8,218.0,unknown,3741480.0
ersan ilyasova,orlando magic,7.0,pf,29.0,6-10,235.0,unknown,7900000.0
brandon jennings,orlando magic,13.0,pg,26.0,6-1,169.0,unknown,8344497.0
devyn marble,orlando magic,11.0,sf,23.0,6-6,200.0,iowa,845059.0
shabazz napier,orlando magic,13.0,pg,24.0,6-1,175.0,connecticut,1294440.0
andrew nicholson,orlando magic,44.0,pf,26.0,6-9,250.0,st. bonaventure,2380593.0
victor oladipo,orlando magic,5.0,sg,24.0,6-4,210.0,indiana,5192520.0
elfrid payton,orlando magic,4.0,pg,22.0,6-4,185.0,louisiana-lafayette,2505720.0
jason smith,orlando magic,14.0,pf,30.0,7-0,240.0,colorado state,4300000.0
nikola vucevic,orlando magic,9.0,c,25.0,7-0,260.0,usc,2839073.0
c.j. watson,orlando magic,32.0,pg,32.0,6-2,175.0,tennessee,5000000.0
alan anderson,washington wizards,6.0,sg,33.0,6-6,220.0,michigan state,4000000.0
bradley beal,washington wizards,3.0,sg,22.0,6-5,207.0,florida,5694674.0
jared dudley,washington wizards,1.0,sf,30.0,6-7,225.0,boston college,4375000.0
jarell eddie,washington wizards,8.0,sg,24.0,6-7,218.0,virginia tech,561716.0
drew gooden,washington wizards,13.0,pf,34.0,6-10,250.0,kansas,3300000.0
marcin gortat,washington wizards,13.0,c,32.0,6-11,240.0,unknown,2839073.0
jj hickson,washington wizards,21.0,c,27.0,6-9,242.0,north carolina state,273038.0
nene hilario,washington wizards,42.0,c,33.0,6-11,250.0,unknown,2839073.0
markieff morris,washington wizards,5.0,pf,26.0,6-10,245.0,kansas,8000000.0
kelly oubre jr.,washington wizards,12.0,sf,20.0,6-7,205.0,kansas,1920240.0
otto porter jr.,washington wizards,22.0,sf,23.0,6-8,198.0,georgetown,4662960.0
ramon sessions,washington wizards,7.0,pg,30.0,6-3,190.0,nevada,2170465.0
garrett temple,washington wizards,17.0,sg,30.0,6-6,195.0,lsu,1100602.0
marcus thornton,washington wizards,15.0,sf,29.0,6-4,205.0,lsu,200600.0
john wall,washington wizards,2.0,pg,25.0,6-4,195.0,kentucky,2839073.0
darrell arthur,denver nuggets,0.0,pf,28.0,6-9,235.0,kansas,2814000.0
d.j. augustin,denver nuggets,12.0,pg,28.0,6-0,183.0,texas,3000000.0
will barton,denver nuggets,5.0,sf,25.0,6-6,175.0,memphis,3533333.0
wilson chandler,denver nuggets,21.0,sf,29.0,6-8,225.0,depaul,2839073.0
kenneth faried,denver nuggets,35.0,pf,26.0,6-8,228.0,morehead state,2839073.0
danilo gallinari,denver nuggets,8.0,sf,27.0,6-10,225.0,unknown,2839073.0
gary harris,denver nuggets,14.0,sg,21.0,6-4,210.0,michigan state,1584480.0
nikola jokic,denver nuggets,15.0,c,21.0,6-10,250.0,unknown,1300000.0
joffrey lauvergne,denver nuggets,13.0,c,24.0,6-11,220.0,unknown,1709719.0
mike miller,denver nuggets,3.0,sg,36.0,6-8,218.0,florida,947276.0
emmanuel mudiay,denver nuggets,0.0,pg,20.0,6-5,200.0,unknown,3102240.0
jameer nelson,denver nuggets,1.0,pg,34.0,6-0,190.0,saint joseph's,4345000.0
jusuf nurkic,denver nuggets,23.0,c,21.0,7-0,280.0,unknown,1842000.0
jakarr sampson,denver nuggets,9.0,sg,23.0,6-9,214.0,st. john's,258489.0
axel toupane,denver nuggets,6.0,sg,23.0,6-7,210.0,unknown,2839073.0
nemanja bjelica,minnesota timberwolves,13.0,pf,28.0,6-10,240.0,unknown,3950001.0
gorgui dieng,minnesota timberwolves,5.0,c,26.0,6-11,241.0,louisville,1474440.0
kevin garnett,minnesota timberwolves,21.0,pf,26.0,6-11,240.0,unknown,8500000.0
tyus jones,minnesota timberwolves,1.0,pg,20.0,6-2,195.0,duke,1282080.0
zach lavine,minnesota timberwolves,8.0,pg,21.0,6-5,189.0,ucla,2148360.0
shabazz muhammad,minnesota timberwolves,15.0,sf,23.0,6-6,223.0,ucla,2056920.0
adreian payne,minnesota timberwolves,33.0,pf,25.0,6-10,237.0,michigan state,1938840.0
nikola pekovic,minnesota timberwolves,14.0,c,30.0,6-11,220.0,unknown,2839073.0
tayshaun prince,minnesota timberwolves,12.0,sf,36.0,6-9,212.0,kentucky,947276.0
ricky rubio,minnesota timberwolves,9.0,pg,25.0,6-4,194.0,unknown,2839073.0
damjan rudez,minnesota timberwolves,10.0,sf,29.0,6-9,230.0,unknown,1149500.0
greg smith,minnesota timberwolves,4.0,pf,25.0,6-10,250.0,fresno state,2839073.0
karl-anthony towns,minnesota timberwolves,32.0,c,20.0,7-0,244.0,kentucky,5703600.0
andrew wiggins,minnesota timberwolves,22.0,sg,21.0,6-8,199.0,kansas,5758680.0
steven adams,oklahoma city thunder,12.0,c,22.0,7-0,255.0,pittsburgh,2279040.0
nick collison,oklahoma city thunder,4.0,pf,35.0,6-10,255.0,kansas,3750000.0
kevin durant,oklahoma city thunder,35.0,sf,27.0,6-9,240.0,texas,2839073.0
randy foye,oklahoma city thunder,6.0,sg,32.0,6-4,213.0,villanova,3135000.0
josh huestis,oklahoma city thunder,34.0,sf,24.0,6-7,230.0,stanford,1140240.0
serge ibaka,oklahoma city thunder,9.0,pf,26.0,6-10,245.0,unknown,2839073.0
enes kanter,oklahoma city thunder,11.0,c,24.0,6-11,245.0,kentucky,2839073.0
mitch mcgary,oklahoma city thunder,33.0,pf,24.0,6-10,255.0,michigan,1463040.0
nazr mohammed,oklahoma city thunder,13.0,c,38.0,6-10,250.0,kentucky,222888.0
anthony morrow,oklahoma city thunder,2.0,sg,30.0,6-5,210.0,georgia tech,3344000.0
cameron payne,oklahoma city thunder,22.0,pg,21.0,6-3,185.0,murray state,2021520.0
andre roberson,oklahoma city thunder,21.0,sg,24.0,6-7,210.0,colorado,1210800.0
kyle singler,oklahoma city thunder,5.0,sf,28.0,6-8,228.0,duke,4500000.0
dion waiters,oklahoma city thunder,3.0,sg,24.0,6-4,220.0,syracuse,5138430.0
russell westbrook,oklahoma city thunder,0.0,pg,27.0,6-3,200.0,ucla,2839073.0
cliff alexander,portland trail blazers,34.0,pf,20.0,6-8,240.0,kansas,525093.0
al-farouq aminu,portland trail blazers,8.0,sf,25.0,6-9,215.0,wake forest,8042895.0
pat connaughton,portland trail blazers,5.0,sg,23.0,6-5,206.0,notre dame,625093.0
allen crabbe,portland trail blazers,23.0,sg,24.0,6-6,210.0,california,947276.0
ed davis,portland trail blazers,17.0,c,27.0,6-10,240.0,north carolina,6980802.0
maurice harkless,portland trail blazers,4.0,sf,23.0,6-9,215.0,st. john's,2894059.0
gerald henderson,portland trail blazers,9.0,sg,28.0,6-5,215.0,duke,6000000.0
chris kaman,portland trail blazers,35.0,c,34.0,7-0,265.0,central michigan,5016000.0
meyers leonard,portland trail blazers,11.0,pf,24.0,7-1,245.0,illinois,3075880.0
damian lillard,portland trail blazers,0.0,pg,25.0,6-3,195.0,weber state,4236287.0
c.j. mccollum,portland trail blazers,3.0,sg,24.0,6-4,200.0,lehigh,2525160.0
luis montero,portland trail blazers,44.0,sg,23.0,6-7,185.0,westchester cc,525093.0
mason plumlee,portland trail blazers,24.0,c,26.0,6-11,235.0,duke,1415520.0
brian roberts,portland trail blazers,2.0,pg,30.0,6-1,173.0,dayton,2854940.0
noah vonleh,portland trail blazers,21.0,pf,20.0,6-9,240.0,indiana,2637720.0
trevor booker,utah jazz,33.0,pf,28.0,6-8,228.0,clemson,4775000.0
trey burke,utah jazz,3.0,pg,23.0,6-1,191.0,michigan,2658240.0
alec burks,utah jazz,10.0,sg,24.0,6-6,214.0,colorado,9463484.0
dante exum,utah jazz,11.0,pg,20.0,6-6,190.0,unknown,3777720.0
derrick favors,utah jazz,15.0,pf,24.0,6-10,265.0,georgia tech,2839073.0
rudy gobert,utah jazz,27.0,c,23.0,7-1,245.0,unknown,1175880.0
gordon hayward,utah jazz,20.0,sf,26.0,6-8,226.0,butler,2839073.0
rodney hood,utah jazz,5.0,sg,23.0,6-8,206.0,duke,1348440.0
joe ingles,utah jazz,2.0,sf,28.0,6-8,226.0,unknown,2050000.0
chris johnson,utah jazz,23.0,sf,26.0,6-6,206.0,dayton,981348.0
trey lyles,utah jazz,41.0,pf,20.0,6-10,234.0,kentucky,2239800.0
shelvin mack,utah jazz,8.0,pg,26.0,6-3,203.0,butler,2433333.0
raul neto,utah jazz,25.0,pg,24.0,6-1,179.0,unknown,900000.0
tibor pleiss,utah jazz,21.0,c,26.0,7-3,256.0,unknown,2900000.0
jeff withey,utah jazz,24.0,c,26.0,7-0,231.0,kansas,947276.0
unknown,unknown,13.0,unknown,26.0,unknown,220.0,unknown,2839073.0
