region,industry,gender,worth in billions
Latin America,Diversified financial,female,1.1
Europe,Diversified financial,male,1.0
Europe,Diversified financial,male,1.0
East Asia,Diversified financial,male,1.0
North America,Diversified financial,male,1.0
North America,Real Estate,male,38.0
East Asia,Real Estate,male,22.0
East Asia,Real Estate,male,15.1
North America,Real Estate,male,14.4
Europe,Real Estate,male,13.0
East Asia,Real Estate,male,12.6
East Asia,Real Estate,male,11.0
East Asia,Real Estate,male,8.4
East Asia,Real Estate,male,7.2
Middle East,Real Estate,male,7.0
Europe,Real Estate,male,6.9
East Asia,Real Estate,female,6.9
North America,Real Estate,male,6.5
East Asia,Real Estate,female,6.4
North America,Real Estate,male,6.1
East Asia,Real Estate,female,6.0
East Asia,Real Estate,male,5.7
East Asia,Real Estate,male,5.7
North America,Real Estate,male,5.4
East Asia,Real Estate,male,5.2
North America,Real Estate,male,5.0
East Asia,Real Estate,male,5.0
North America,Real Estate,male,4.7
North America,Real Estate,male,4.5
North America,Real Estate,male,4.5
Middle East,Real Estate,male,4.5
North America,Real Estate,female,4.4
North America,Real Estate,female,4.4
North America,Real Estate,male,4.3
East Asia,Real Estate,male,4.2
East Asia,Real Estate,male,4.2
North America,Real Estate,male,4.2
East Asia,Real Estate,male,4.2
North America,Real Estate,male,4.2
North America,Real Estate,male,3.8
North America,Real Estate,female,3.7
East Asia,Real Estate,female,3.7
East Asia,Real Estate,female,3.7
Europe,Real Estate,male,3.6
Europe,Real Estate,male,3.6
North America,Real Estate,male,3.6
North America,Real Estate,male,3.6
Europe,Real Estate,male,3.6
North America,Real Estate,male,3.4
Europe,Real Estate,male,3.4
North America,Real Estate,male,3.4
East Asia,Real Estate,male,3.4
East Asia,Real Estate,male,3.3
North America,Real Estate,male,3.1
North America,Real Estate,male,3.1
Europe,Real Estate,male,3.1
North America,Real Estate,male,3.1
Middle East,Real Estate,male,3.1
South Asia,Real Estate,male,3.0
East Asia,Real Estate,male,3.0
East Asia,Real Estate,male,3.0
North America,Real Estate,male,2.9
North America,Real Estate,male,2.9
Europe,Real Estate,female,2.8
North America,Real Estate,male,2.8
East Asia,Real Estate,female,2.8
North America,Real Estate,male,2.8
East Asia,Real Estate,male,2.8
North America,Real Estate,female,2.7
North America,Real Estate,male,2.7
East Asia,Real Estate,male,2.7
East Asia,Real Estate,male,2.7
Latin America,Real Estate,male,2.6
North America,Real Estate,male,2.6
North America,Real Estate,male,2.6
North America,Real Estate,male,2.5
North America,Real Estate,male,2.5
North America,Real Estate,male,2.5
Europe,Real Estate,male,2.5
East Asia,Real Estate,male,2.4
North America,Real Estate,male,2.4
East Asia,Real Estate,male,2.4
Europe,Real Estate,male,2.4
North America,Real Estate,male,2.4
Europe,Real Estate,male,2.3
Europe,Real Estate,male,2.3
East Asia,Real Estate,male,2.3
North America,Real Estate,female,2.3
Europe,Real Estate,male,2.3
North America,Real Estate,female,2.3
North America,Real Estate,male,2.3
Middle East,Real Estate,male,2.2
North America,Real Estate,male,2.2
Europe,Real Estate,male,2.2
North America,Real Estate,male,2.2
East Asia,Real Estate,male,2.1
East Asia,Real Estate,male,2.1
East Asia,Real Estate,male,2.1
North America,Real Estate,male,2.1
North America,Real Estate,male,2.0
North America,Real Estate,male,2.0
North America,Real Estate,male,2.0
Europe,Real Estate,male,2.0
North America,Real Estate,male,2.0
North America,Real Estate,male,2.0
East Asia,Real Estate,male,2.0
East Asia,Real Estate,male,2.0
East Asia,Real Estate,male,2.0
South Asia,Real Estate,male,1.9
North America,Real Estate,male,1.9
Latin America,Real Estate,female,1.9
Latin America,Real Estate,male,1.9
North America,Real Estate,male,1.9
North America,Real Estate,male,1.9
North America,Real Estate,male,1.9
Europe,Real Estate,male,1.8
East Asia,Real Estate,male,1.8
East Asia,Real Estate,male,1.8
North America,Real Estate,female,1.8
North America,Real Estate,female,1.8
North America,Real Estate,male,1.8
East Asia,Real Estate,male,1.8
East Asia,Real Estate,male,1.7
East Asia,Real Estate,male,1.7
South Asia,Real Estate,male,1.6
East Asia,Real Estate,male,1.6
East Asia,Real Estate,male,1.5
East Asia,Real Estate,male,1.5
North America,Real Estate,male,1.4
North America,Real Estate,male,1.4
Europe,Real Estate,male,1.4
North America,Real Estate,male,1.4
Europe,Real Estate,male,1.4
Europe,Real Estate,male,1.4
East Asia,Real Estate,male,1.4
East Asia,Real Estate,male,1.4
East Asia,Real Estate,male,1.4
Europe,Real Estate,male,1.3
North America,Real Estate,male,1.3
Latin America,Real Estate,male,1.3
East Asia,Real Estate,male,1.3
East Asia,Real Estate,male,1.3
East Asia,Real Estate,male,1.3
Latin America,Real Estate,male,1.3
North America,Real Estate,male,1.3
East Asia,Real Estate,male,1.3
Latin America,Real Estate,male,1.3
Latin America,Real Estate,male,1.3
North America,Real Estate,male,1.3
East Asia,Real Estate,male,1.3
East Asia,Real Estate,female,1.3
Middle East,Real Estate,male,1.3
Middle East,Real Estate,male,1.3
East Asia,Real Estate,male,1.3
East Asia,Real Estate,male,1.3
Europe,Real Estate,male,1.2
East Asia,Real Estate,male,1.2
East Asia,Real Estate,male,1.2
East Asia,Real Estate,male,1.2
Europe,Real Estate,male,1.2
North America,Real Estate,male,1.2
Europe,Real Estate,male,1.2
South Asia,Real Estate,male,1.2
Europe,Real Estate,male,1.2
Europe,Real Estate,male,1.2
Europe,Real Estate,female,1.2
East Asia,Real Estate,male,1.2
Europe,Real Estate,male,1.2
East Asia,Real Estate,male,1.2
East Asia,Real Estate,male,1.2
East Asia,Real Estate,male,1.2
East Asia,Real Estate,male,1.1
North America,Real Estate,male,1.1
East Asia,Real Estate,male,1.1
East Asia,Real Estate,male,1.1
North America,Real Estate,male,1.1
Middle East,Real Estate,male,1.1
North America,Real Estate,male,1.1
Sub-Saharan Africa,Real Estate,male,1.1
East Asia,Real Estate,male,1.1
East Asia,Real Estate,male,1.1
East Asia,Real Estate,male,1.1
North America,Real Estate,male,1.1
North America,Real Estate,male,1.1
East Asia,Real Estate,male,1.0
Europe,Real Estate,male,1.0
Europe,Real Estate,male,1.0
Europe,Real Estate,male,1.0
East Asia,Real Estate,female,1.0
South Asia,Real Estate,male,1.0
North America,Real Estate,male,1.0
East Asia,Real Estate,female,1.0
North America,Real Estate,male,1.0
East Asia,Real Estate,male,1.0
East Asia,Real Estate,male,1.0
Sub-Saharan Africa,Constrution,male,25.0
Europe,Constrution,male,12.8
Europe,Constrution,male,6.7
Europe,Constrution,male,6.0
North America,Constrution,male,5.8
Europe,Constrution,male,5.5
North America,Constrution,female,4.6
Europe,Constrution,male,4.1
Europe,Constrution,male,4.0
North America,Constrution,male,3.9
North America,Constrution,male,3.9
Europe,Constrution,male,3.7
Europe,Constrution,male,3.4
East Asia,Constrution,male,3.3
Middle East,Constrution,male,3.3
North America,Constrution,male,2.9
Middle East,Constrution,male,2.8
Europe,Constrution,male,2.8
East Asia,Constrution,male,2.7
Europe,Constrution,male,2.5
Middle East,Constrution,male,2.4
Latin America,Constrution,female,2.2
Latin America,Constrution,female,2.2
Latin America,Constrution,female,2.2
Europe,Constrution,female,2.1
Latin America,Constrution,male,2.1
Europe,Constrution,male,2.0
North America,Constrution,male,2.0
Europe,Constrution,male,1.9
Europe,Constrution,male,1.9
South Asia,Constrution,male,1.8
East Asia,Constrution,male,1.8
Europe,Constrution,male,1.7
North America,Constrution,male,1.6
Europe,Constrution,male,1.6
Middle East,Constrution,male,1.6
Europe,Constrution,male,1.6
Middle East,Constrution,male,1.6
South Asia,Constrution,male,1.6
Latin America,Constrution,male,1.6
Europe,Constrution,male,1.5
East Asia,Constrution,female,1.5
Europe,Constrution,male,1.5
Europe,Constrution,female,1.5
Middle East,Constrution,male,1.5
Middle East,Constrution,male,1.5
Latin America,Constrution,male,1.5
Latin America,Constrution,male,1.5
Europe,Constrution,male,1.4
Europe,Constrution,male,1.4
North America,Constrution,male,1.4
East Asia,Constrution,female,1.4
Europe,Constrution,male,1.3
Middle East,Constrution,male,1.2
Middle East,Constrution,male,1.2
Europe,Constrution,male,1.2
North America,Constrution,male,1.2
Latin America,Constrution,female,1.2
Latin America,Constrution,male,1.2
East Asia,Constrution,male,1.1
Europe,Constrution,female,1.0
North America,Hedge funds,male,23.0
North America,Hedge funds,male,14.4
North America,Hedge funds,male,13.5
North America,Hedge funds,male,12.5
North America,Hedge funds,male,11.0
North America,Hedge funds,male,10.0
North America,Hedge funds,male,5.2
North America,Hedge funds,male,4.8
North America,Hedge funds,male,4.3
North America,Hedge funds,male,3.9
North America,Hedge funds,male,3.6
Europe,Hedge funds,male,3.6
North America,Hedge funds,male,3.5
North America,Hedge funds,male,3.3
North America,Hedge funds,male,3.2
North America,Hedge funds,male,3.1
North America,Hedge funds,male,2.9
Europe,Hedge funds,male,2.6
Europe,Hedge funds,male,2.2
North America,Hedge funds,male,2.2
North America,Hedge funds,male,2.1
North America,Hedge funds,male,2.0
North America,Hedge funds,male,2.0
East Asia,Hedge funds,male,2.0
North America,Hedge funds,male,1.8
North America,Hedge funds,male,1.7
Europe,Hedge funds,male,1.6
North America,Hedge funds,male,1.6
North America,Hedge funds,male,1.6
North America,Hedge funds,male,1.6
North America,Hedge funds,male,1.6
North America,Hedge funds,male,1.5
North America,Hedge funds,male,1.5
North America,Hedge funds,male,1.4
North America,Hedge funds,male,1.4
North America,Hedge funds,male,1.4
Europe,Hedge funds,male,1.3
Europe,Hedge funds,male,1.1
North America,Hedge funds,male,1.1
Europe,Hedge funds,male,1.1
North America,Hedge funds,male,1.0
North America,Hedge funds,male,1.0
North America,Hedge funds,male,1.0
South Asia,Energy,male,18.6
Europe,Energy,male,17.6
Europe,Energy,male,15.6
Europe,Energy,male,15.3
Middle East,Energy,male,15.3
North America,Energy,male,14.6
Europe,Energy,male,13.6
Europe,Energy,male,11.4
Europe,Energy,male,11.3
East Asia,Energy,male,10.3
North America,Energy,male,10.0
Europe,Energy,male,8.8
Europe,Energy,male,6.5
Europe,Energy,male,6.1
Middle East,Energy,male,5.7
North America,Energy,male,5.6
North America,Energy,male,5.5
Latin America,Energy,male,5.5
North America,Energy,male,5.5
Europe,Energy,male,5.3
North America,Energy,female,4.5
North America,Energy,male,4.5
North America,Energy,male,3.8
Europe,Energy,male,3.7
North America,Energy,male,3.5
North America,Energy,male,3.3
Europe,Energy,male,3.3
North America,Energy,male,3.3
North America,Energy,male,3.0
East Asia,Energy,male,3.0
North America,Energy,male,2.9
North America,Energy,male,2.8
North America,Energy,male,2.8
Europe,Energy,male,2.6
Europe,Energy,male,2.6
Sub-Saharan Africa,Energy,female,2.5
North America,Energy,male,2.5
North America,Energy,male,2.4
Europe,Energy,male,2.3
Europe,Energy,male,2.1
North America,Energy,male,2.1
North America,Energy,male,2.1
Europe,Energy,male,2.1
North America,Energy,male,2.1
North America,Energy,male,2.1
East Asia,Energy,male,2.1
North America,Energy,male,2.0
North America,Energy,male,2.0
East Asia,Energy,male,2.0
Europe,Energy,male,1.9
Latin America,Energy,male,1.9
North America,Energy,male,1.9
South Asia,Energy,male,1.9
Europe,Energy,male,1.9
East Asia,Energy,male,1.8
Europe,Energy,male,1.7
Europe,Energy,male,1.6
Europe,Energy,male,1.5
North America,Energy,male,1.5
North America,Energy,male,1.5
Latin America,Energy,male,1.5
Europe,Energy,male,1.5
East Asia,Energy,male,1.5
Middle East,Energy,male,1.4
Europe,Energy,male,1.4
Europe,Energy,male,1.4
East Asia,Energy,male,1.4
North America,Energy,male,1.4
North America,Energy,male,1.3
Europe,Energy,male,1.3
Europe,Energy,male,1.2
Europe,Energy,male,1.2
Middle East,Energy,male,1.2
East Asia,Energy,male,1.2
North America,Energy,male,1.2
Europe,Energy,male,1.2
Latin America,Energy,female,1.2
Middle East,Energy,male,1.1
Europe,Energy,male,1.1
Europe,Energy,male,1.1
North America,Energy,male,1.1
East Asia,Energy,male,1.1
Europe,Energy,male,1.1
North America,Energy,male,1.1
Europe,Energy,male,1.1
Europe,Energy,male,1.0
North America,Energy,male,1.0
North America,Mining and metals,female,17.7
Europe,Mining and metals,male,17.2
Latin America,Mining and metals,female,15.5
Latin America,Mining and metals,male,14.7
Europe,Mining and metals,male,12.6
Latin America,Mining and metals,male,12.4
Europe,Mining and metals,female,8.1
South Asia,Mining and metals,male,7.0
Sub-Saharan Africa,Mining and metals,male,6.7
Europe,Mining and metals,male,6.5
North America,Mining and metals,male,6.3
Europe,Mining and metals,male,6.1
North America,Mining and metals,male,5.2
East Asia,Mining and metals,male,4.3
East Asia,Mining and metals,male,4.2
Middle East,Mining and metals,male,4.1
East Asia,Mining and metals,male,3.6
North America,Mining and metals,male,3.1
Europe,Mining and metals,male,3.0
South Asia,Mining and metals,male,2.9
Europe,Mining and metals,male,2.9
South Asia,Mining and metals,male,2.8
Sub-Saharan Africa,Mining and metals,male,2.7
Europe,Mining and metals,male,2.6
Europe,Mining and metals,male,2.6
Europe,Mining and metals,male,2.5
Middle East,Mining and metals,male,2.5
East Asia,Mining and metals,male,2.3
South Asia,Mining and metals,male,2.2
North America,Mining and metals,male,2.2
Europe,Mining and metals,male,2.0
Europe,Mining and metals,male,1.9
East Asia,Mining and metals,male,1.8
Middle East,Mining and metals,male,1.7
South Asia,Mining and metals,male,1.7
Europe,Mining and metals,male,1.7
Europe,Mining and metals,male,1.7
East Asia,Mining and metals,male,1.7
Europe,Mining and metals,male,1.7
South Asia,Mining and metals,male,1.7
North America,Mining and metals,male,1.6
Europe,Mining and metals,male,1.6
Europe,Mining and metals,male,1.6
Latin America,Mining and metals,male,1.6
Latin America,Mining and metals,female,1.6
Latin America,Mining and metals,female,1.6
Europe,Mining and metals,male,1.5
Europe,Mining and metals,female,1.5
Europe,Mining and metals,female,1.5
North America,Mining and metals,male,1.4
Europe,Mining and metals,male,1.4
Latin America,Mining and metals,female,1.4
Sub-Saharan Africa,Mining and metals,male,1.3
Middle East,Mining and metals,male,1.3
East Asia,Mining and metals,male,1.3
Europe,Mining and metals,male,1.2
East Asia,Mining and metals,male,1.2
Europe,Mining and metals,male,1.2
East Asia,Mining and metals,male,1.2
East Asia,Mining and metals,male,1.2
Latin America,Mining and metals,male,1.2
Latin America,Mining and metals,male,1.1
North America,Mining and metals,female,1.0
South Asia,Mining and metals,male,1.0
East Asia,Mining and metals,male,1.0
East Asia,Mining and metals,male,1.0
Europe,Mining and metals,male,1.0
Europe,Mining and metals,male,1.0
North America,Money Management,female,17.3
Latin America,Money Management,male,16.0
Latin America,Money Management,male,14.2
Europe,Money Management,male,11.5
Europe,Money Management,male,11.0
North America,Money Management,male,10.9
North America,Money Management,male,9.3
North America,Money Management,male,8.8
East Asia,Money Management,male,7.6
East Asia,Money Management,male,7.6
North America,Money Management,male,7.5
East Asia,Money Management,male,6.4
North America,Money Management,male,6.2
North America,Money Management,male,5.8
East Asia,Money Management,male,5.6
Europe,Money Management,male,5.5
Europe,Money Management,male,5.4
East Asia,Money Management,male,5.2
North America,Money Management,female,5.1
North America,Money Management,female,4.8
North America,Money Management,female,4.8
North America,Money Management,male,4.8
Europe,Money Management,male,3.8
South Asia,Money Management,male,3.8
North America,Money Management,male,3.7
East Asia,Money Management,male,3.7
Latin America,Money Management,male,3.3
North America,Money Management,male,3.2
North America,Money Management,male,3.2
North America,Money Management,female,3.2
Europe,Money Management,male,3.2
Europe,Money Management,male,3.1
Latin America,Money Management,male,3.1
Middle East,Money Management,male,3.0
Latin America,Money Management,male,2.9
Latin America,Money Management,male,2.9
Latin America,Money Management,male,2.9
Latin America,Money Management,male,2.9
Latin America,Money Management,male,2.9
Middle East,Money Management,male,2.8
North America,Money Management,male,2.6
Europe,Money Management,male,2.5
North America,Money Management,male,2.5
North America,Money Management,male,2.5
Middle East,Money Management,male,2.4
North America,Money Management,male,2.4
Europe,Money Management,male,2.4
Europe,Money Management,male,2.4
North America,Money Management,male,2.3
East Asia,Money Management,male,2.3
Europe,Money Management,male,2.3
North America,Money Management,male,2.2
Europe,Money Management,male,2.2
Latin America,Money Management,male,2.2
North America,Money Management,male,2.1
Middle East,Money Management,male,2.1
North America,Money Management,male,2.1
Europe,Money Management,female,2.1
Europe,Money Management,male,2.1
Europe,Money Management,male,2.1
East Asia,Money Management,male,2.1
Europe,Money Management,male,2.0
Europe,Money Management,male,2.0
Latin America,Money Management,male,2.0
Europe,Money Management,male,2.0
Europe,Money Management,male,2.0
North America,Money Management,male,2.0
Europe,Money Management,male,2.0
East Asia,Money Management,male,2.0
Latin America,Money Management,male,1.9
North America,Money Management,male,1.9
Middle East,Money Management,male,1.9
Europe,Money Management,male,1.9
Latin America,Money Management,male,1.8
South Asia,Money Management,female,1.8
Middle East,Money Management,female,1.8
Europe,Money Management,male,1.8
Europe,Money Management,male,1.8
Latin America,Money Management,male,1.8
North America,Money Management,female,1.8
South Asia,Money Management,male,1.8
East Asia,Money Management,male,1.8
North America,Money Management,male,1.8
Latin America,Money Management,male,1.8
North America,Money Management,male,1.7
Europe,Money Management,male,1.7
Europe,Money Management,male,1.7
North America,Money Management,male,1.6
North America,Money Management,male,1.6
Latin America,Money Management,male,1.6
North America,Money Management,male,1.6
North America,Money Management,male,1.6
East Asia,Money Management,female,1.6
North America,Money Management,male,1.6
Latin America,Money Management,male,1.5
Latin America,Money Management,male,1.5
East Asia,Money Management,male,1.5
North America,Money Management,male,1.4
Latin America,Money Management,female,1.4
Latin America,Money Management,male,1.4
Europe,Money Management,male,1.4
Europe,Money Management,male,1.4
Middle East,Money Management,male,1.4
Europe,Money Management,male,1.4
North America,Money Management,male,1.3
North America,Money Management,male,1.3
Europe,Money Management,female,1.3
Europe,Money Management,male,1.3
Latin America,Money Management,female,1.2
Latin America,Money Management,male,1.2
Latin America,Money Management,female,1.1
North America,Money Management,male,1.1
North America,Money Management,male,1.1
North America,Money Management,male,1.1
East Asia,Money Management,male,1.1
Europe,Money Management,male,1.1
Middle East,Money Management,female,1.1
East Asia,Money Management,male,1.1
Middle East,Money Management,male,1.1
Europe,Money Management,male,1.0
Europe,Money Management,male,1.0
North America,Money Management,male,1.0
South Asia,Technology-Medical,male,12.8
Europe,Technology-Medical,male,12.0
Europe,Technology-Medical,male,10.5
North America,Technology-Medical,male,10.0
Europe,Technology-Medical,male,8.6
Europe,Technology-Medical,male,7.6
North America,Technology-Medical,male,6.1
North America,Technology-Medical,female,5.8
Europe,Technology-Medical,male,5.0
South Asia,Technology-Medical,male,4.9
Europe,Technology-Medical,male,4.0
North America,Technology-Medical,male,4.0
North America,Technology-Medical,male,3.9
Europe,Technology-Medical,male,3.8
North America,Technology-Medical,male,3.8
Europe,Technology-Medical,male,3.7
Europe,Technology-Medical,male,3.5
Europe,Technology-Medical,male,3.5
North America,Technology-Medical,female,3.4
Europe,Technology-Medical,male,3.4
North America,Technology-Medical,male,3.3
South Asia,Technology-Medical,male,3.2
North America,Technology-Medical,female,3.1
North America,Technology-Medical,male,3.0
Europe,Technology-Medical,male,2.8
East Asia,Technology-Medical,male,2.7
North America,Technology-Medical,male,2.6
Europe,Technology-Medical,female,2.4
South Asia,Technology-Medical,male,2.4
East Asia,Technology-Medical,male,2.3
East Asia,Technology-Medical,male,2.2
South Asia,Technology-Medical,male,2.1
North America,Technology-Medical,male,2.1
East Asia,Technology-Medical,male,2.0
North America,Technology-Medical,male,1.9
North America,Technology-Medical,female,1.9
North America,Technology-Medical,male,1.9
North America,Technology-Medical,male,1.9
East Asia,Technology-Medical,male,1.9
East Asia,Technology-Medical,male,1.8
East Asia,Technology-Medical,male,1.8
Europe,Technology-Medical,male,1.8
North America,Technology-Medical,male,1.8
East Asia,Technology-Medical,male,1.8
North America,Technology-Medical,male,1.8
East Asia,Technology-Medical,male,1.7
North America,Technology-Medical,male,1.7
North America,Technology-Medical,male,1.6
North America,Technology-Medical,male,1.6
Middle East,Technology-Medical,male,1.5
Middle East,Technology-Medical,male,1.5
North America,Technology-Medical,male,1.5
East Asia,Technology-Medical,male,1.5
South Asia,Technology-Medical,male,1.5
South Asia,Technology-Medical,male,1.5
East Asia,Technology-Medical,female,1.4
North America,Technology-Medical,male,1.3
Sub-Saharan Africa,Technology-Medical,male,1.3
Latin America,Technology-Medical,male,1.2
Europe,Technology-Medical,male,1.2
East Asia,Technology-Medical,male,1.2
Middle East,Technology-Medical,male,1.2
East Asia,Technology-Medical,male,1.2
North America,Technology-Medical,male,1.1
East Asia,Technology-Medical,male,1.1
East Asia,Technology-Medical,male,1.1
East Asia,Technology-Medical,male,1.1
South Asia,Technology-Medical,male,1.1
East Asia,Technology-Medical,male,1.1
East Asia,Technology-Medical,male,1.0
Europe,Technology-Medical,female,1.0
South Asia,Technology-Medical,male,1.0
Europe,Technology-Medical,male,1.0
Europe,Technology-Medical,female,1.0
North America,Technology-Medical,male,1.0
East Asia,Technology-Medical,male,1.0
East Asia,Technology-Medical,male,1.0
East Asia,Technology-Medical,male,1.0
