Retailer,Sales Method,Product,Total Sales
Walmart,Outlet,Men's Apparel,23625
Sports Direct,Outlet,Men's Apparel,20000
Sports Direct,Outlet,Men's Apparel,22500
West Gear,Online,Women's Apparel,7000
West Gear,Online,Men's Athletic Footwear,7000
Kohl's,Online,Men's Athletic Footwear,8750
Kohl's,Online,Women's Street Footwear,5250
Kohl's,Online,Women's Apparel,8750
Kohl's,Online,Men's Athletic Footwear,4500
Kohl's,Online,Women's Street Footwear,4500
West Gear,Online,Women's Street Footwear,2750
West Gear,Online,Women's Apparel,6875
West Gear,Online,Women's Street Footwear,4125
West Gear,Online,Men's Apparel,8750
West Gear,Online,Men's Athletic Footwear,5000
West Gear,Online,Women's Athletic Footwear,3750
West Gear,Online,Men's Apparel,6250
Kohl's,Online,Men's Apparel,8750
Kohl's,Online,Men's Athletic Footwear,6250
Kohl's,Online,Women's Street Footwear,6125
West Gear,Outlet,Men's Street Footwear,1023
West Gear,Outlet,Men's Street Footwear,943
West Gear,Online,Men's Athletic Footwear,5625
West Gear,Online,Women's Street Footwear,3375
West Gear,Online,Women's Athletic Footwear,7875
West Gear,Online,Women's Street Footwear,4500
Kohl's,Outlet,Men's Street Footwear,367
West Gear,Online,Women's Athletic Footwear,4000
West Gear,Online,Men's Apparel,6000
Kohl's,Online,Women's Athletic Footwear,4000
Kohl's,Outlet,Men's Street Footwear,1100
West Gear,Outlet,Men's Street Footwear,686
West Gear,Outlet,Men's Street Footwear,614
West Gear,Online,Men's Street Footwear,1058
West Gear,Outlet,Men's Street Footwear,368
West Gear,Online,Men's Street Footwear,910
West Gear,Outlet,Men's Street Footwear,255
West Gear,Outlet,Men's Street Footwear,501
Kohl's,Outlet,Men's Street Footwear,299
West Gear,Online,Women's Athletic Footwear,3500
West Gear,Online,Men's Apparel,6125
West Gear,Online,Men's Apparel,7000
West Gear,Outlet,Men's Street Footwear,346
Kohl's,Online,Men's Street Footwear,1082
West Gear,Online,Men's Street Footwear,601
West Gear,Outlet,Women's Apparel,664
Kohl's,Outlet,Men's Street Footwear,266
West Gear,Outlet,Women's Apparel,734
Kohl's,Online,Men's Street Footwear,373
West Gear,Online,Men's Street Footwear,593
West Gear,Online,Men's Street Footwear,293
West Gear,Online,Men's Street Footwear,365
West Gear,Online,Women's Athletic Footwear,3000
West Gear,Online,Men's Street Footwear,735
Kohl's,Online,Men's Street Footwear,343
Kohl's,Outlet,Men's Athletic Footwear,700
West Gear,Outlet,Women's Apparel,572
West Gear,Online,Women's Apparel,866
West Gear,Outlet,Men's Athletic Footwear,518
West Gear,Online,Men's Street Footwear,397
West Gear,Outlet,Men's Athletic Footwear,473
Kohl's,Online,Men's Street Footwear,306
West Gear,Outlet,Women's Street Footwear,432
Kohl's,Outlet,Women's Street Footwear,576
West Gear,Outlet,Men's Athletic Footwear,358
Kohl's,Outlet,Women's Apparel,768
Kohl's,Outlet,Women's Apparel,653
West Gear,Online,Women's Athletic Footwear,2500
West Gear,Online,Women's Apparel,682
West Gear,Online,Women's Apparel,620
Kohl's,Online,Women's Apparel,836
West Gear,Outlet,Men's Athletic Footwear,308
Kohl's,Online,Men's Athletic Footwear,690
West Gear,Outlet,Women's Apparel,274
Kohl's,Outlet,Women's Apparel,202
West Gear,Online,Men's Athletic Footwear,527
West Gear,Outlet,Women's Apparel,383
West Gear,Outlet,Men's Apparel,499
Kohl's,Outlet,Women's Street Footwear,139
Kohl's,Outlet,Women's Athletic Footwear,513
West Gear,Online,Men's Athletic Footwear,576
West Gear,Online,Women's Street Footwear,531
West Gear,Outlet,Women's Street Footwear,429
West Gear,Outlet,Women's Apparel,157
West Gear,Outlet,Men's Athletic Footwear,157
West Gear,Outlet,Women's Apparel,244
West Gear,Outlet,Women's Athletic Footwear,355
West Gear,Outlet,Women's Street Footwear,289
West Gear,Outlet,Women's Athletic Footwear,385
Kohl's,Online,Women's Apparel,756
West Gear,Outlet,Men's Apparel,431
West Gear,Outlet,Men's Apparel,420
Kohl's,Outlet,Men's Athletic Footwear,168
Kohl's,Online,Women's Apparel,235
West Gear,Outlet,Women's Athletic Footwear,296
Kohl's,Online,Women's Street Footwear,556
Kohl's,Outlet,Women's Apparel,222
West Gear,Online,Women's Apparel,176
West Gear,Online,Women's Apparel,412
West Gear,Online,Men's Apparel,578
West Gear,Online,Men's Athletic Footwear,372
Kohl's,Outlet,Men's Apparel,539
Kohl's,Outlet,Men's Athletic Footwear,106
West Gear,Online,Women's Apparel,263
West Gear,Online,Women's Street Footwear,414
Kohl's,Online,Women's Athletic Footwear,508
West Gear,Outlet,Men's Athletic Footwear,270
West Gear,Online,Women's Apparel,255
Kohl's,Online,Women's Apparel,264
Kohl's,Online,Men's Athletic Footwear,209
West Gear,Outlet,Women's Street Footwear,109
Kohl's,Outlet,Women's Athletic Footwear,333
Kohl's,Outlet,Women's Street Footwear,99
West Gear,Online,Men's Athletic Footwear,290
West Gear,Online,Women's Street Footwear,317
West Gear,Online,Women's Athletic Footwear,326
West Gear,Online,Men's Athletic Footwear,167
Kohl's,Online,Women's Street Footwear,123
West Gear,Outlet,Women's Apparel,158
West Gear,Outlet,Women's Street Footwear,238
Kohl's,Outlet,Men's Apparel,246
West Gear,Online,Men's Athletic Footwear,339
West Gear,Online,Women's Athletic Footwear,331
West Gear,Online,Men's Apparel,444
West Gear,Online,Women's Athletic Footwear,349
West Gear,Outlet,Men's Apparel,204
Kohl's,Outlet,Men's Apparel,510
West Gear,Outlet,Women's Street Footwear,58
West Gear,Outlet,Women's Athletic Footwear,100
West Gear,Online,Men's Apparel,381
Kohl's,Online,Men's Apparel,559
Kohl's,Outlet,Women's Street Footwear,154
West Gear,Online,Women's Street Footwear,72
West Gear,Outlet,Men's Apparel,264
West Gear,Outlet,Men's Athletic Footwear,142
Kohl's,Online,Men's Athletic Footwear,109
West Gear,Outlet,Men's Athletic Footwear,117
West Gear,Outlet,Men's Apparel,156
Kohl's,Online,Men's Apparel,547
West Gear,Online,Men's Apparel,255
West Gear,Online,Men's Apparel,323
Kohl's,Online,Women's Athletic Footwear,390
Kohl's,Online,Women's Street Footwear,105
Kohl's,Outlet,Men's Athletic Footwear,128
Kohl's,Online,Women's Street Footwear,170
West Gear,Outlet,Women's Athletic Footwear,192
West Gear,Outlet,Women's Street Footwear,104
West Gear,Online,Men's Athletic Footwear,139
West Gear,Online,Women's Street Footwear,245
West Gear,Outlet,Women's Street Footwear,70
Kohl's,Outlet,Women's Athletic Footwear,112
West Gear,Online,Women's Apparel,159
West Gear,Online,Women's Street Footwear,97
West Gear,Online,Women's Street Footwear,95
West Gear,Online,Men's Apparel,156
West Gear,Outlet,Men's Apparel,150
West Gear,Online,Men's Athletic Footwear,150
Kohl's,Online,Men's Apparel,215
Kohl's,Online,Men's Athletic Footwear,150
West Gear,Online,Women's Athletic Footwear,88
West Gear,Outlet,Women's Athletic Footwear,93
West Gear,Outlet,Men's Apparel,159
West Gear,Online,Women's Athletic Footwear,201
West Gear,Outlet,Women's Athletic Footwear,87
West Gear,Online,Women's Street Footwear,112
Kohl's,Online,Women's Athletic Footwear,106
West Gear,Outlet,Men's Apparel,146
West Gear,Online,Men's Apparel,201
West Gear,Online,Women's Athletic Footwear,94
West Gear,Online,Men's Apparel,145
West Gear,Online,Women's Athletic Footwear,93
West Gear,Online,Men's Apparel,167
West Gear,Outlet,Women's Athletic Footwear,71
West Gear,Online,Women's Athletic Footwear,81
West Gear,Outlet,Women's Athletic Footwear,62
West Gear,Online,Women's Athletic Footwear,68
West Gear,Online,Men's Street Footwear,38500
West Gear,Online,Men's Street Footwear,40500
Kohl's,Online,Men's Street Footwear,43750
West Gear,Online,Men's Street Footwear,24000
Kohl's,Online,Men's Street Footwear,15000
West Gear,Online,Men's Street Footwear,23800
West Gear,Online,Men's Street Footwear,28750
West Gear,Online,Men's Street Footwear,11400
Kohl's,Online,Men's Street Footwear,13750
West Gear,Online,Men's Street Footwear,13125
West Gear,Online,Women's Apparel,34125
West Gear,Online,Men's Street Footwear,15750
West Gear,Online,Women's Apparel,28500
West Gear,Online,Women's Apparel,26125
Kohl's,Online,Men's Street Footwear,11875
West Gear,Online,Men's Athletic Footwear,22500
West Gear,Online,Men's Athletic Footwear,24750
Kohl's,Online,Men's Athletic Footwear,25500
Kohl's,Online,Women's Apparel,31875
West Gear,Online,Women's Street Footwear,16875
West Gear,Online,Women's Street Footwear,18750
West Gear,Online,Men's Athletic Footwear,15000
Kohl's,Online,Women's Apparel,28125
Kohl's,Online,Women's Street Footwear,22500
West Gear,Online,Women's Apparel,15750
West Gear,Online,Men's Athletic Footwear,12250
West Gear,Online,Men's Apparel,21000
West Gear,Online,Women's Apparel,10500
West Gear,Online,Women's Apparel,9750
West Gear,Online,Women's Street Footwear,13000
West Gear,Online,Women's Athletic Footwear,14625
West Gear,Online,Women's Athletic Footwear,13000
Kohl's,Online,Women's Apparel,9750
Kohl's,Online,Women's Athletic Footwear,19500
Kohl's,Online,Men's Apparel,22750
West Gear,Online,Men's Athletic Footwear,12000
West Gear,Online,Women's Athletic Footwear,12000
West Gear,Online,Men's Apparel,16500
West Gear,Online,Men's Apparel,15000
Kohl's,Online,Women's Athletic Footwear,16500
West Gear,Online,Women's Street Footwear,9625
Kohl's,Online,Men's Apparel,20625
West Gear,Online,Men's Apparel,11250
West Gear,In-store,Women's Apparel,8750
Foot Locker,Online,Men's Street Footwear,2021
West Gear,In-store,Women's Street Footwear,6500
Foot Locker,Online,Men's Street Footwear,1959
Foot Locker,Online,Men's Street Footwear,1943
Foot Locker,Online,Men's Street Footwear,1464
Foot Locker,Online,Men's Street Footwear,934
Foot Locker,Online,Men's Street Footwear,1354
Foot Locker,Online,Women's Apparel,1612
Foot Locker,Online,Men's Street Footwear,1390
West Gear,In-store,Men's Athletic Footwear,8250
Foot Locker,Online,Men's Street Footwear,1392
Foot Locker,Online,Men's Athletic Footwear,1566
Foot Locker,Online,Men's Street Footwear,875
Sports Direct,Online,Men's Street Footwear,894
West Gear,In-store,Men's Athletic Footwear,7500
West Gear,In-store,Women's Street Footwear,5000
West Gear,In-store,Women's Street Footwear,6250
Foot Locker,Online,Women's Apparel,1625
Foot Locker,Online,Women's Street Footwear,1265
Foot Locker,Online,Women's Apparel,1610
Foot Locker,Online,Men's Street Footwear,1220
Foot Locker,Online,Men's Athletic Footwear,1312
Foot Locker,Online,Men's Apparel,1536
Foot Locker,Online,Women's Athletic Footwear,1025
Foot Locker,Online,Women's Apparel,1206
Foot Locker,Online,Women's Street Footwear,1155
Sports Direct,Online,Men's Street Footwear,762
Sports Direct,Online,Women's Apparel,1550
West Gear,In-store,Men's Apparel,9000
West Gear,In-store,Women's Athletic Footwear,5625
West Gear,In-store,Men's Apparel,7875
Foot Locker,In-store,Men's Athletic Footwear,7875
Foot Locker,In-store,Women's Street Footwear,5625
Foot Locker,In-store,Women's Apparel,7875
Foot Locker,Online,Men's Apparel,1148
Foot Locker,Online,Women's Apparel,1260
Foot Locker,Online,Women's Athletic Footwear,1193
Sports Direct,Online,Men's Apparel,1485
Foot Locker,Online,Men's Athletic Footwear,1070
Foot Locker,Online,Men's Athletic Footwear,1270
Foot Locker,Online,Women's Athletic Footwear,1025
Foot Locker,Online,Women's Apparel,734
Sports Direct,Online,Women's Street Footwear,1204
Foot Locker,Online,Men's Athletic Footwear,672
Foot Locker,Online,Women's Street Footwear,861
Foot Locker,Online,Women's Athletic Footwear,819
Foot Locker,Online,Women's Apparel,815
Foot Locker,Online,Women's Street Footwear,982
Foot Locker,Online,Men's Athletic Footwear,874
Foot Locker,Online,Women's Apparel,1524
Foot Locker,Online,Women's Athletic Footwear,1050
Foot Locker,Online,Women's Street Footwear,869
West Gear,In-store,Women's Athletic Footwear,7000
Foot Locker,Online,Women's Apparel,1180
Foot Locker,Online,Men's Athletic Footwear,980
Foot Locker,Online,Men's Apparel,1039
Foot Locker,Online,Women's Street Footwear,745
Foot Locker,Online,Men's Apparel,1294
Sports Direct,Online,Women's Apparel,666
Foot Locker,Online,Men's Apparel,1209
Sports Direct,Online,Women's Athletic Footwear,1145
Foot Locker,Online,Men's Apparel,926
Foot Locker,Online,Women's Apparel,605
Foot Locker,Online,Men's Apparel,983
Sports Direct,Online,Women's Street Footwear,454
Foot Locker,Online,Men's Apparel,884
Foot Locker,Online,Men's Athletic Footwear,846
Foot Locker,Online,Men's Athletic Footwear,827
Sports Direct,Online,Men's Athletic Footwear,639
Foot Locker,Online,Men's Athletic Footwear,619
Foot Locker,Online,Women's Street Footwear,437
Foot Locker,Online,Women's Athletic Footwear,783
West Gear,Online,Men's Street Footwear,1001
Foot Locker,Online,Women's Street Footwear,434
Foot Locker,Online,Men's Apparel,742
Sports Direct,Online,Men's Athletic Footwear,615
Foot Locker,Online,Women's Athletic Footwear,486
West Gear,Online,Men's Street Footwear,1038
Foot Locker,Online,Women's Street Footwear,722
Foot Locker,Online,Women's Athletic Footwear,722
Foot Locker,Online,Men's Street Footwear,1056
West Gear,In-store,Women's Athletic Footwear,6125
West Gear,In-store,Women's Athletic Footwear,4375
West Gear,In-store,Women's Athletic Footwear,4375
West Gear,In-store,Women's Street Footwear,6125
West Gear,In-store,Women's Athletic Footwear,6125
West Gear,In-store,Men's Apparel,7875
West Gear,In-store,Women's Street Footwear,4375
Foot Locker,Online,Men's Apparel,840
Sports Direct,Online,Women's Athletic Footwear,502
Foot Locker,Online,Women's Athletic Footwear,558
Sports Direct,Online,Women's Street Footwear,389
West Gear,Online,Men's Street Footwear,462
Sports Direct,Online,Men's Apparel,655
West Gear,Online,Men's Street Footwear,524
West Gear,Online,Men's Street Footwear,645
Foot Locker,Online,Women's Athletic Footwear,389
West Gear,Online,Men's Street Footwear,386
Foot Locker,Online,Men's Street Footwear,442
Foot Locker,Online,Men's Athletic Footwear,702
West Gear,Online,Women's Apparel,838
West Gear,Online,Men's Street Footwear,603
Foot Locker,In-store,Men's Apparel,5625
West Gear,In-store,Men's Athletic Footwear,4375
Foot Locker,Online,Women's Apparel,830
West Gear,Online,Men's Athletic Footwear,440
Foot Locker,Online,Men's Street Footwear,515
West Gear,Online,Men's Athletic Footwear,580
West Gear,Online,Women's Apparel,679
West Gear,Online,Women's Apparel,621
West Gear,Online,Men's Street Footwear,472
West Gear,Online,Women's Street Footwear,560
Foot Locker,Online,Men's Street Footwear,350
West Gear,Online,Women's Apparel,252
Foot Locker,Online,Women's Athletic Footwear,541
Foot Locker,Online,Women's Apparel,640
West Gear,Online,Women's Street Footwear,480
West Gear,Online,Women's Apparel,494
Foot Locker,Online,Men's Athletic Footwear,314
Foot Locker,Online,Men's Apparel,580
West Gear,Online,Women's Apparel,442
West Gear,Online,Women's Street Footwear,173
West Gear,Online,Men's Athletic Footwear,264
Foot Locker,Online,Women's Athletic Footwear,346
West Gear,Online,Men's Athletic Footwear,378
West Gear,Online,Men's Athletic Footwear,322
West Gear,Online,Men's Apparel,470
West Gear,Online,Women's Street Footwear,331
Foot Locker,Online,Women's Apparel,395
West Gear,Online,Women's Apparel,235
West Gear,Online,Women's Street Footwear,267
West Gear,Online,Men's Athletic Footwear,256
Foot Locker,Online,Men's Apparel,484
West Gear,Online,Women's Street Footwear,246
West Gear,Online,Women's Athletic Footwear,370
Foot Locker,Online,Women's Street Footwear,246
Foot Locker,In-store,Women's Athletic Footwear,2250
West Gear,Online,Men's Athletic Footwear,210
West Gear,Online,Women's Apparel,270
West Gear,Online,Men's Apparel,303
West Gear,Online,Women's Athletic Footwear,259
West Gear,Online,Men's Athletic Footwear,186
West Gear,Online,Women's Athletic Footwear,228
West Gear,Online,Women's Street Footwear,129
West Gear,Online,Men's Apparel,286
West Gear,Online,Men's Apparel,333
West Gear,Online,Women's Street Footwear,163
Foot Locker,Online,Men's Athletic Footwear,231
West Gear,Online,Men's Apparel,312
Foot Locker,Online,Women's Street Footwear,151
West Gear,Online,Men's Apparel,195
West Gear,Online,Men's Apparel,218
West Gear,Online,Women's Athletic Footwear,136
Foot Locker,Online,Women's Apparel,195
West Gear,Online,Men's Apparel,336
West Gear,Online,Men's Apparel,217
West Gear,Online,Women's Athletic Footwear,165
West Gear,Online,Women's Athletic Footwear,167
West Gear,Online,Women's Athletic Footwear,113
West Gear,Online,Women's Athletic Footwear,118
West Gear,Online,Women's Athletic Footwear,150
West Gear,Online,Women's Street Footwear,110
West Gear,Online,Women's Street Footwear,145
West Gear,Online,Men's Athletic Footwear,129
Foot Locker,Online,Men's Apparel,139
Foot Locker,Online,Women's Athletic Footwear,56
Foot Locker,Online,Men's Street Footwear,74750
Foot Locker,Online,Men's Street Footwear,73125
Foot Locker,Online,Men's Street Footwear,75250
Foot Locker,Online,Women's Apparel,68250
Foot Locker,Online,Women's Apparel,64750
Sports Direct,Online,Women's Apparel,65625
Foot Locker,Online,Men's Street Footwear,57750
Foot Locker,Online,Men's Street Footwear,52250
Foot Locker,Online,Men's Street Footwear,56375
Foot Locker,Online,Men's Street Footwear,35700
Foot Locker,Online,Men's Street Footwear,34125
Foot Locker,Online,Men's Street Footwear,53625
Sports Direct,Online,Men's Street Footwear,34125
Foot Locker,Online,Women's Apparel,55500
Foot Locker,Online,Men's Street Footwear,50875
Sports Direct,Online,Men's Street Footwear,32375
Foot Locker,Online,Men's Athletic Footwear,54000
Foot Locker,Online,Men's Athletic Footwear,54000
Foot Locker,Online,Men's Athletic Footwear,52500
Foot Locker,Online,Women's Street Footwear,45375
Foot Locker,Online,Women's Street Footwear,45375
Foot Locker,Online,Men's Athletic Footwear,41250
Foot Locker,Online,Women's Apparel,61875
Sports Direct,Online,Women's Street Footwear,49500
Foot Locker,Online,Women's Apparel,28000
Foot Locker,Online,Women's Apparel,48000
Foot Locker,Online,Men's Athletic Footwear,40000
Foot Locker,Online,Men's Apparel,52000
Foot Locker,Online,Women's Apparel,44000
Foot Locker,Online,Men's Athletic Footwear,36000
Foot Locker,Online,Women's Apparel,31000
Foot Locker,Online,Women's Street Footwear,38750
Foot Locker,Online,Women's Athletic Footwear,42625
Foot Locker,Online,Women's Athletic Footwear,34875
Foot Locker,Online,Women's Apparel,46500
Sports Direct,Online,Women's Athletic Footwear,46500
Sports Direct,Online,Men's Apparel,54250
Foot Locker,Online,Men's Athletic Footwear,37500
Foot Locker,Online,Women's Athletic Footwear,37500
Foot Locker,Online,Men's Apparel,48750
Foot Locker,Online,Men's Apparel,41250
Foot Locker,Online,Men's Athletic Footwear,33750
Foot Locker,Online,Women's Athletic Footwear,41250
Foot Locker,Online,Women's Street Footwear,18125
Foot Locker,Online,Women's Apparel,25375
Foot Locker,Online,Women's Street Footwear,32625
Foot Locker,Online,Women's Street Footwear,29000
Foot Locker,Online,Men's Apparel,50750
Sports Direct,Online,Men's Athletic Footwear,25375
Sports Direct,Online,Women's Street Footwear,18125
Sports Direct,Online,Women's Apparel,25375
Foot Locker,Online,Men's Apparel,35000
Foot Locker,Online,Men's Athletic Footwear,24500
Foot Locker,Online,Men's Apparel,38500
Foot Locker,Online,Women's Athletic Footwear,28000
Foot Locker,Online,Men's Apparel,35000
Foot Locker,Online,Women's Street Footwear,31275
Foot Locker,Online,Men's Athletic Footwear,23625
Foot Locker,Online,Women's Street Footwear,16875
Foot Locker,Online,Women's Athletic Footwear,30375
Foot Locker,Online,Women's Street Footwear,30375
Sports Direct,Online,Women's Street Footwear,16875
Foot Locker,Online,Women's Athletic Footwear,29250
Foot Locker,Online,Men's Apparel,35750
West Gear,In-store,Men's Street Footwear,39000
Foot Locker,In-store,Men's Street Footwear,42250
Foot Locker,Online,Women's Athletic Footwear,21875
Foot Locker,Online,Men's Apparel,28125
Foot Locker,Online,Men's Apparel,31250
Sports Direct,Online,Men's Apparel,28125
Sports Direct,Online,Men's Athletic Footwear,21875
Foot Locker,Online,Women's Athletic Footwear,18000
West Gear,In-store,Men's Street Footwear,27000
West Gear,In-store,Men's Street Footwear,35700
Foot Locker,Online,Women's Athletic Footwear,17250
Sports Direct,Online,Women's Athletic Footwear,17250
West Gear,In-store,Men's Street Footwear,17100
West Gear,In-store,Men's Street Footwear,16500
West Gear,In-store,Men's Street Footwear,19250
West Gear,In-store,Men's Street Footwear,26250
West Gear,In-store,Women's Apparel,30875
Foot Locker,In-store,Men's Street Footwear,16625
Foot Locker,In-store,Men's Street Footwear,20250
Foot Locker,In-store,Men's Athletic Footwear,24750
Foot Locker,In-store,Women's Apparel,31500
West Gear,In-store,Men's Athletic Footwear,17000
West Gear,In-store,Women's Apparel,27625
West Gear,In-store,Women's Apparel,23375
West Gear,In-store,Men's Street Footwear,19125
Foot Locker,In-store,Men's Street Footwear,14875
West Gear,In-store,Men's Athletic Footwear,22000
Foot Locker,In-store,Women's Apparel,28000
West Gear,In-store,Women's Street Footwear,22000
West Gear,In-store,Women's Apparel,19250
West Gear,In-store,Men's Athletic Footwear,10500
Foot Locker,In-store,Men's Athletic Footwear,12250
Foot Locker,In-store,Women's Athletic Footwear,19250
Foot Locker,In-store,Men's Apparel,22750
West Gear,In-store,Women's Apparel,9750
West Gear,In-store,Women's Apparel,16250
West Gear,In-store,Women's Street Footwear,16250
Foot Locker,In-store,Women's Athletic Footwear,13000
West Gear,In-store,Men's Athletic Footwear,12000
West Gear,In-store,Women's Street Footwear,10500
West Gear,In-store,Men's Apparel,18000
West Gear,In-store,Men's Athletic Footwear,13500
West Gear,In-store,Women's Street Footwear,12000
West Gear,In-store,Women's Apparel,12000
Foot Locker,In-store,Women's Apparel,15000
Foot Locker,In-store,Men's Apparel,19500
Foot Locker,In-store,Women's Street Footwear,10325
West Gear,In-store,Women's Street Footwear,9625
West Gear,In-store,Women's Athletic Footwear,9625
West Gear,In-store,Men's Apparel,12375
West Gear,In-store,Women's Athletic Footwear,13750
West Gear,In-store,Women's Athletic Footwear,11000
West Gear,In-store,Men's Athletic Footwear,9625
West Gear,In-store,Men's Apparel,12500
West Gear,In-store,Men's Apparel,12500
West Gear,In-store,Men's Apparel,10125
West Gear,In-store,Men's Apparel,13000
West Gear,Outlet,Men's Street Footwear,1398
West Gear,Outlet,Men's Street Footwear,1386
West Gear,Outlet,Men's Athletic Footwear,1527
West Gear,Outlet,Men's Street Footwear,1288
West Gear,Outlet,Women's Apparel,1836
West Gear,Outlet,Men's Athletic Footwear,1408
West Gear,Outlet,Men's Street Footwear,1359
West Gear,Online,Men's Street Footwear,1494
West Gear,Outlet,Men's Street Footwear,809
West Gear,Outlet,Men's Street Footwear,1040
West Gear,Outlet,Men's Street Footwear,1148
West Gear,Outlet,Men's Athletic Footwear,1205
West Gear,Outlet,Women's Street Footwear,1180
West Gear,Outlet,Men's Athletic Footwear,1092
West Gear,Outlet,Men's Athletic Footwear,1307
West Gear,Online,Men's Street Footwear,1551
West Gear,Online,Men's Street Footwear,1529
West Gear,Online,Men's Street Footwear,1693
West Gear,Online,Men's Athletic Footwear,1583
West Gear,Outlet,Men's Street Footwear,979
West Gear,Outlet,Men's Street Footwear,1084
West Gear,Outlet,Women's Athletic Footwear,1084
West Gear,Outlet,Men's Street Footwear,1188
West Gear,Online,Men's Athletic Footwear,1501
West Gear,Outlet,Women's Street Footwear,1214
West Gear,Outlet,Women's Apparel,1478
West Gear,Outlet,Women's Apparel,1346
West Gear,Online,Men's Street Footwear,1368
West Gear,Outlet,Men's Athletic Footwear,1289
West Gear,Outlet,Men's Apparel,1552
West Gear,Outlet,Men's Street Footwear,1026
West Gear,Online,Men's Athletic Footwear,1709
West Gear,Outlet,Men's Athletic Footwear,1280
West Gear,Outlet,Women's Apparel,1434
West Gear,Outlet,Women's Street Footwear,1126
West Gear,Outlet,Women's Apparel,1280
West Gear,Outlet,Women's Athletic Footwear,1326
West Gear,Outlet,Women's Street Footwear,1168
West Gear,Outlet,Women's Apparel,1524
West Gear,Online,Men's Street Footwear,1411
West Gear,Online,Men's Athletic Footwear,1562
West Gear,Online,Women's Street Footwear,1538
West Gear,Outlet,Women's Street Footwear,1265
West Gear,Outlet,Women's Street Footwear,967
West Gear,Outlet,Women's Street Footwear,988
West Gear,Outlet,Women's Athletic Footwear,1136
West Gear,Outlet,Women's Athletic Footwear,963
West Gear,Outlet,Women's Street Footwear,988
West Gear,Online,Men's Athletic Footwear,1446
West Gear,Outlet,Women's Apparel,1005
West Gear,Outlet,Women's Apparel,1519
West Gear,Outlet,Men's Apparel,1054
West Gear,Online,Men's Street Footwear,1229
West Gear,Outlet,Men's Apparel,1056
West Gear,Outlet,Men's Athletic Footwear,860
West Gear,Online,Men's Street Footwear,1204
West Gear,Online,Men's Athletic Footwear,1369
West Gear,Online,Women's Apparel,1142
West Gear,Online,Men's Apparel,1491
West Gear,Online,Women's Apparel,1678
West Gear,Online,Women's Street Footwear,1212
West Gear,Outlet,Women's Apparel,839
West Gear,Outlet,Men's Athletic Footwear,1188
West Gear,Outlet,Men's Athletic Footwear,901
West Gear,Online,Men's Street Footwear,1127
West Gear,Online,Men's Street Footwear,1277
West Gear,Outlet,Women's Athletic Footwear,958
West Gear,Outlet,Men's Apparel,1163
West Gear,Online,Men's Athletic Footwear,1440
West Gear,Online,Women's Street Footwear,1170
West Gear,Outlet,Women's Street Footwear,1035
West Gear,Outlet,Women's Apparel,1305
West Gear,Outlet,Men's Apparel,968
West Gear,Outlet,Women's Athletic Footwear,918
West Gear,Outlet,Women's Apparel,1030
Kohl's,Outlet,Men's Street Footwear,582
Kohl's,Outlet,Men's Athletic Footwear,784
West Gear,Online,Men's Street Footwear,825
West Gear,Outlet,Women's Athletic Footwear,937
West Gear,Outlet,Men's Apparel,1105
West Gear,Online,Women's Apparel,1577
West Gear,Online,Men's Athletic Footwear,1292
West Gear,Online,Women's Street Footwear,1308
West Gear,Online,Women's Athletic Footwear,1199
West Gear,Online,Men's Apparel,1373
West Gear,Online,Women's Apparel,1411
Kohl's,Outlet,Women's Street Footwear,781
West Gear,Outlet,Men's Athletic Footwear,1102
West Gear,Online,Men's Athletic Footwear,1029
West Gear,Online,Women's Apparel,1134
West Gear,Online,Women's Street Footwear,1344
West Gear,Online,Women's Athletic Footwear,1239
West Gear,Online,Women's Street Footwear,1050
West Gear,Online,Women's Athletic Footwear,1113
West Gear,Outlet,Women's Apparel,693
West Gear,Outlet,Women's Street Footwear,987
West Gear,Outlet,Women's Street Footwear,882
West Gear,Outlet,Women's Athletic Footwear,777
West Gear,Online,Women's Apparel,1394
West Gear,Online,Women's Street Footwear,1318
West Gear,Outlet,Women's Athletic Footwear,979
West Gear,Online,Women's Street Footwear,1117
West Gear,Online,Men's Athletic Footwear,1259
West Gear,Online,Women's Apparel,1462
West Gear,Online,Women's Athletic Footwear,1076
West Gear,Online,Women's Athletic Footwear,1035
Kohl's,Online,Men's Street Footwear,650
West Gear,Online,Women's Apparel,1353
West Gear,Online,Women's Street Footwear,1200
West Gear,Online,Women's Street Footwear,960
West Gear,Online,Women's Apparel,1235
Kohl's,Online,Men's Athletic Footwear,804
West Gear,Outlet,Men's Apparel,862
West Gear,Online,Women's Athletic Footwear,989
West Gear,Outlet,Women's Athletic Footwear,741
West Gear,Online,Women's Apparel,1361
Kohl's,Online,Women's Street Footwear,775
West Gear,Online,Women's Athletic Footwear,1015
West Gear,Online,Women's Athletic Footwear,1109
West Gear,Online,Men's Apparel,1297
West Gear,Outlet,Women's Athletic Footwear,902
West Gear,Online,Women's Apparel,837
West Gear,Online,Women's Athletic Footwear,1019
West Gear,Online,Women's Street Footwear,910
West Gear,Online,Men's Apparel,1074
West Gear,Outlet,Men's Apparel,892
Kohl's,Outlet,Women's Athletic Footwear,601
West Gear,Online,Women's Apparel,1376
West Gear,Online,Men's Athletic Footwear,1015
West Gear,Online,Men's Apparel,1033
West Gear,Online,Women's Athletic Footwear,1009
West Gear,Outlet,Men's Apparel,657
West Gear,Outlet,Men's Apparel,867
