,Gender,Primary_Device,Health_Impacts,Avg_Daily_Screen_Time_hr
,Male,TV,Poor Sleep,3.45
,Male,Laptop,Poor Sleep,4.6
,Male,TV,Poor Sleep,6.2
,Male,Smartphone,Poor Sleep,5.29
,Female,Smartphone,Poor Sleep,4.31
,Female,Smartphone,Poor Sleep,4.22
,Male,Tablet,Poor Sleep,3.44
,Male,Smartphone,Poor Sleep,4.78
,Male,TV,Poor Sleep,3.38
,Male,Smartphone,Poor Sleep,3.84
,Female,Smartphone,Poor Sleep,5.18
,Male,TV,Poor Sleep,3.34
,Male,TV,Poor Sleep,3.65
,Male,TV,Poor Sleep,7.1
,Male,Smartphone,Poor Sleep,6.86
,Female,Smartphone,Poor Sleep,4.21
,Female,Smartphone,Poor Sleep,6.07
,Male,Smartphone,Poor Sleep,3.44
,Male,TV,Poor Sleep,5.84
,Female,Smartphone,Poor Sleep,4.51
,Male,Smartphone,Poor Sleep,3.77
,Male,TV,Poor Sleep,3.33
,Female,Laptop,Poor Sleep,4.22
,Male,Smartphone,Poor Sleep,3.25
,Female,Laptop,Poor Sleep,4.53
,Male,Laptop,Poor Sleep,4.67
,Female,Laptop,Poor Sleep,4.14
,Male,Smartphone,Poor Sleep,4.66
,Male,Laptop,Poor Sleep,5.35
,Male,Laptop,Poor Sleep,7.06
,Female,Laptop,Poor Sleep,6.29
,Female,Laptop,Poor Sleep,5.04
,Female,Laptop,Poor Sleep,6.64
,Male,Laptop,Poor Sleep,4.29
,Male,Smartphone,Poor Sleep,4.15
,Female,Smartphone,Poor Sleep,3.56
,Male,Tablet,Poor Sleep,5.5
,Male,Laptop,Poor Sleep,3.89
,Male,TV,Poor Sleep,3.46
,Male,TV,Poor Sleep,4.41
,Male,Smartphone,Poor Sleep,3.91
,Female,Smartphone,Poor Sleep,5.58
,Female,Laptop,Poor Sleep,6.18
,Female,TV,Poor Sleep,3.58
,Male,Smartphone,Poor Sleep,3.98
,Female,TV,Poor Sleep,4.65
,Male,Smartphone,Poor Sleep,5.27
,Male,Tablet,Poor Sleep,4.5
,Male,Tablet,Poor Sleep,4.79
,Male,Tablet,Poor Sleep,5.11
,Male,Smartphone,Poor Sleep,5.53
,Female,Laptop,Poor Sleep,4.8
,Male,Smartphone,Poor Sleep,6.31
,Male,Tablet,Poor Sleep,3.81
,Male,Laptop,Poor Sleep,5.6
,Female,Laptop,Poor Sleep,6.44
,Male,TV,Poor Sleep,4.17
,Female,Tablet,Poor Sleep,8.3
,Male,Smartphone,Poor Sleep,7.25
,Female,TV,Poor Sleep,5.63
,Female,Tablet,Poor Sleep,4.93
,Female,TV,Poor Sleep,3.87
,Male,Smartphone,Poor Sleep,3.71
,Male,TV,Poor Sleep,4.01
,Female,Smartphone,Poor Sleep,5.2
,Female,TV,Poor Sleep,4.86
,Female,Smartphone,Poor Sleep,6.26
,Female,Smartphone,Poor Sleep,4.86
,Male,Smartphone,Poor Sleep,3.91
,Female,TV,Poor Sleep,3.88
,Male,Laptop,Poor Sleep,3.58
,Female,Laptop,Poor Sleep,3.26
,Male,Laptop,Poor Sleep,3.7
,Female,TV,Poor Sleep,6.64
,Female,TV,Poor Sleep,4.83
,Male,Smartphone,Poor Sleep,6.93
,Male,Smartphone,Poor Sleep,4.56
,Female,Smartphone,Poor Sleep,3.1
,Male,TV,Poor Sleep,4.2
,Male,Smartphone,Poor Sleep,4.14
,Male,Smartphone,Poor Sleep,4.64
,Female,TV,Poor Sleep,5.42
,Male,Smartphone,Poor Sleep,3.41
,Female,Smartphone,Poor Sleep,6.68
,Male,Smartphone,Poor Sleep,4.71
,Male,Smartphone,Poor Sleep,5.02
,Male,Smartphone,Poor Sleep,4.74
,Male,Smartphone,Poor Sleep,4.67
,Female,Smartphone,Poor Sleep,5.59
,Male,Laptop,Poor Sleep,3.74
,Female,TV,Poor Sleep,3.54
,Male,Smartphone,Poor Sleep,3.25
,Male,TV,Poor Sleep,3.92
,Male,Smartphone,Poor Sleep,5.25
,Female,Tablet,Poor Sleep,8.7
,Male,Smartphone,Poor Sleep,4.12
,Male,TV,Poor Sleep,3.52
,Male,Smartphone,Poor Sleep,3.28
,Male,TV,Poor Sleep,4.18
,Male,Smartphone,Poor Sleep,4.75
,Male,TV,Poor Sleep,3.86
,Female,Smartphone,Poor Sleep,4.09
,Female,Tablet,Poor Sleep,4.22
,Male,Smartphone,Poor Sleep,6.45
,Male,Smartphone,Poor Sleep,3.25
,Male,TV,Poor Sleep,5.76
,Female,Smartphone,Poor Sleep,3.3
,Male,Smartphone,Poor Sleep,4.18
,Male,Smartphone,Poor Sleep,3.92
,Male,TV,Poor Sleep,6.01
,Male,Smartphone,Poor Sleep,4.66
,Female,TV,Poor Sleep,5.12
,Male,Smartphone,Poor Sleep,5.28
,Male,Smartphone,Poor Sleep,3.58
,Female,Smartphone,Poor Sleep,3.59
,Male,TV,Poor Sleep,4.08
,Male,Laptop,Poor Sleep,4.85
,Male,Smartphone,Poor Sleep,6.68
,Female,Smartphone,Poor Sleep,4.16
,Male,Tablet,Poor Sleep,3.33
,Female,TV,Poor Sleep,4.78
,Male,Smartphone,Poor Sleep,3.97
,Female,Smartphone,Poor Sleep,7.21
,Female,TV,Poor Sleep,5.07
,Female,Smartphone,Poor Sleep,4.37
,Female,Smartphone,Poor Sleep,5.56
,Male,Laptop,Poor Sleep,5.02
,Male,Tablet,Poor Sleep,6.55
,Male,TV,Poor Sleep,3.39
,Male,Smartphone,Poor Sleep,5.73
,Male,TV,Poor Sleep,4.71
,Male,TV,Poor Sleep,6.48
,Male,Tablet,Poor Sleep,4.55
,Male,Smartphone,Poor Sleep,3.86
,Male,Tablet,Poor Sleep,3.83
,Female,Smartphone,Poor Sleep,5.15
,Male,Tablet,Poor Sleep,4.09
,Male,Smartphone,Poor Sleep,3.43
,Male,Smartphone,Poor Sleep,4.52
,Male,Smartphone,Poor Sleep,4.23
,Male,Tablet,Poor Sleep,5.01
,Female,Smartphone,Poor Sleep,4.24
,Male,Smartphone,Poor Sleep,4.76
,Male,TV,Poor Sleep,4.51
,Male,Tablet,Poor Sleep,5.0
,Male,Smartphone,Poor Sleep,8.48
,Male,Laptop,Poor Sleep,3.97
,Male,Smartphone,Poor Sleep,4.46
,Female,TV,Poor Sleep,7.16
,Female,Laptop,Poor Sleep,4.44
,Female,Laptop,Poor Sleep,3.34
,Female,TV,Poor Sleep,4.14
,Female,TV,Poor Sleep,4.64
,Female,Smartphone,Poor Sleep,5.76
,Male,TV,Poor Sleep,3.71
,Male,Tablet,Poor Sleep,5.66
,Female,Smartphone,Poor Sleep,5.44
,Male,TV,Poor Sleep,5.4
,Female,Smartphone,Poor Sleep,5.16
,Male,TV,Poor Sleep,3.63
,Female,TV,Poor Sleep,6.47
,Female,Smartphone,Poor Sleep,4.44
,Female,Smartphone,Poor Sleep,5.34
,Female,Smartphone,Poor Sleep,3.93
,Male,Tablet,Poor Sleep,4.04
,Male,Tablet,Poor Sleep,8.47
,Male,TV,Poor Sleep,3.09
,Male,TV,Poor Sleep,4.97
,Male,Tablet,Poor Sleep,4.74
,Female,Smartphone,Poor Sleep,3.54
,Female,TV,Poor Sleep,5.27
,Female,Smartphone,Poor Sleep,4.09
,Female,Smartphone,Poor Sleep,4.3
,Female,Tablet,Poor Sleep,5.25
,Female,Smartphone,Poor Sleep,6.01
,Female,Smartphone,Poor Sleep,5.91
,Male,Smartphone,Poor Sleep,5.75
,Female,TV,Poor Sleep,5.1
,Female,Tablet,Poor Sleep,6.17
,Female,TV,Poor Sleep,7.33
,Male,Smartphone,Poor Sleep,3.61
,Female,Smartphone,Poor Sleep,6.08
,Male,Smartphone,Poor Sleep,4.93
,Male,Smartphone,Poor Sleep,4.91
,Male,Smartphone,Poor Sleep,4.27
,Female,TV,Poor Sleep,4.56
,Male,Smartphone,Poor Sleep,4.24
,Male,Smartphone,Poor Sleep,3.79
,Male,Laptop,Poor Sleep,5.92
,Female,Smartphone,Poor Sleep,7.02
,Male,TV,Poor Sleep,4.59
,Female,TV,Poor Sleep,5.96
,Female,TV,Poor Sleep,4.53
,Male,Smartphone,Poor Sleep,5.92
,Male,Smartphone,Poor Sleep,5.69
,Female,Smartphone,Poor Sleep,4.85
,Female,Smartphone,Poor Sleep,5.57
,Female,TV,Poor Sleep,3.79
,Female,Smartphone,Poor Sleep,5.71
,Female,Smartphone,Poor Sleep,4.26
,Male,Smartphone,Poor Sleep,5.44
,Male,Smartphone,Poor Sleep,6.01
,Male,TV,Poor Sleep,3.22
,Male,Smartphone,Poor Sleep,5.39
,Female,Laptop,Poor Sleep,3.71
,Male,TV,Poor Sleep,9.94
,Male,Smartphone,Poor Sleep,6.89
,Male,TV,Poor Sleep,3.04
,Male,TV,Poor Sleep,4.66
,Male,Smartphone,Poor Sleep,5.2
,Female,Smartphone,Poor Sleep,6.18
,Male,Laptop,Poor Sleep,4.27
,Female,TV,Poor Sleep,4.36
,Female,Laptop,Poor Sleep,3.52
,Male,Laptop,Poor Sleep,3.25
,Male,Smartphone,Poor Sleep,3.58
,Female,Smartphone,Poor Sleep,3.73
,Female,Smartphone,Poor Sleep,9.33
,Male,Smartphone,Poor Sleep,4.15
,Male,Smartphone,Poor Sleep,6.98
,Male,Laptop,Poor Sleep,5.31
,Male,Smartphone,Poor Sleep,3.96
,Female,Smartphone,Poor Sleep,4.6
,Male,Smartphone,Poor Sleep,3.24
,Male,Tablet,Poor Sleep,4.69
,Male,TV,Poor Sleep,7.69
,Female,Tablet,Poor Sleep,3.08
,Female,TV,Poor Sleep,3.57
,Male,TV,Poor Sleep,4.03
,Female,Smartphone,Poor Sleep,6.47
,Male,Laptop,Poor Sleep,4.49
,Female,Tablet,Poor Sleep,6.18
,Male,Smartphone,Poor Sleep,5.56
,Female,Smartphone,Poor Sleep,3.69
,Male,Smartphone,Poor Sleep,6.72
,Female,Tablet,Poor Sleep,4.64
,Female,Smartphone,Poor Sleep,4.68
,Female,Laptop,Poor Sleep,5.88
,Male,Laptop,Poor Sleep,4.8
,Female,Smartphone,Poor Sleep,4.15
,Male,Tablet,Poor Sleep,4.41
,Female,TV,Poor Sleep,4.25
,Male,Tablet,Poor Sleep,4.32
,Male,Smartphone,Poor Sleep,6.29
,Male,Smartphone,Poor Sleep,6.12
,Female,Smartphone,Poor Sleep,3.43
,Male,Tablet,Poor Sleep,6.72
,Male,Tablet,Poor Sleep,6.71
,Male,Smartphone,Poor Sleep,4.37
,Male,Laptop,Poor Sleep,3.46
,Male,Smartphone,Poor Sleep,4.7
,Female,Tablet,Poor Sleep,5.49
,Male,Smartphone,Poor Sleep,5.58
,Female,TV,Poor Sleep,3.89
,Male,TV,Poor Sleep,5.82
,Female,Smartphone,Poor Sleep,3.21
,Female,Smartphone,Poor Sleep,6.54
,Male,Smartphone,Poor Sleep,5.15
,Female,Smartphone,Poor Sleep,3.29
,Female,Laptop,Poor Sleep,4.77
,Male,Smartphone,Poor Sleep,6.05
,Male,TV,Poor Sleep,3.85
,Female,Smartphone,Poor Sleep,4.47
,Male,Smartphone,Poor Sleep,4.69
,Female,Smartphone,Poor Sleep,5.38
,Male,TV,Poor Sleep,4.23
,Male,Laptop,Poor Sleep,3.57
,Male,Smartphone,Poor Sleep,3.6
,Male,TV,Poor Sleep,5.6
,Female,Smartphone,Poor Sleep,3.68
,Female,Smartphone,Poor Sleep,3.87
,Female,Smartphone,Poor Sleep,7.4
,Male,TV,Poor Sleep,5.39
,Male,Smartphone,Poor Sleep,4.86
,Male,Laptop,Poor Sleep,5.01
,Female,TV,Poor Sleep,3.73
,Male,Smartphone,Poor Sleep,4.22
,Female,TV,Poor Sleep,6.01
,Male,Smartphone,Poor Sleep,6.05
,Female,TV,Poor Sleep,5.84
,Male,Smartphone,Poor Sleep,4.04
,Male,Smartphone,Poor Sleep,4.54
,Male,Smartphone,Poor Sleep,4.41
,Female,TV,Poor Sleep,5.92
,Female,Smartphone,Poor Sleep,3.2
,Female,Tablet,Poor Sleep,5.19
,Female,Laptop,Poor Sleep,4.55
,Male,Laptop,Poor Sleep,3.98
,Male,Laptop,Poor Sleep,3.54
,Male,Tablet,Poor Sleep,3.99
,Female,Smartphone,Poor Sleep,6.27
,Male,Tablet,Poor Sleep,3.49
,Female,TV,Poor Sleep,3.8
,Male,TV,Poor Sleep,4.46
,Female,Laptop,Poor Sleep,3.99
,Male,Smartphone,Poor Sleep,4.72
,Female,Smartphone,Poor Sleep,5.66
,Female,Smartphone,Poor Sleep,4.41
,Female,Smartphone,Poor Sleep,5.17
,Male,TV,Poor Sleep,6.08
,Female,Smartphone,Poor Sleep,9.05
,Male,TV,Poor Sleep,4.09
,Female,Smartphone,Poor Sleep,5.33
,Female,TV,Poor Sleep,5.27
,Female,Smartphone,Poor Sleep,7.01
,Female,Smartphone,Poor Sleep,5.29
,Male,Smartphone,Poor Sleep,5.83
,Male,TV,Poor Sleep,8.19
,Female,Tablet,Poor Sleep,4.3
,Female,TV,Poor Sleep,4.92
,Female,TV,Poor Sleep,5.84
,Male,TV,Poor Sleep,4.74
,Female,Tablet,Poor Sleep,4.75
,Female,Smartphone,Poor Sleep,5.33
,Male,Smartphone,Poor Sleep,3.43
,Male,TV,Poor Sleep,3.94
,Female,Smartphone,Poor Sleep,4.83
,Female,Smartphone,Poor Sleep,3.71
,Male,Smartphone,Poor Sleep,7.52
,Female,TV,Poor Sleep,5.56
,Female,TV,Poor Sleep,3.89
,Female,Smartphone,Poor Sleep,4.53
,Male,TV,Poor Sleep,3.35
,Male,Tablet,Poor Sleep,7.26
,Male,Smartphone,Poor Sleep,8.53
,Female,Tablet,Poor Sleep,4.15
,Female,Laptop,Poor Sleep,4.3
,Female,TV,Poor Sleep,6.24
,Female,Laptop,Poor Sleep,3.79
,Female,Smartphone,Poor Sleep,5.3
,Male,Smartphone,Poor Sleep,4.12
,Male,Smartphone,Poor Sleep,3.17
,Female,Laptop,Poor Sleep,3.75
,Female,TV,Poor Sleep,4.7
,Male,TV,Poor Sleep,4.33
,Female,TV,Poor Sleep,7.37
,Female,Tablet,Poor Sleep,4.05
,Male,Smartphone,Poor Sleep,7.52
,Male,TV,Poor Sleep,4.05
,Male,Smartphone,Poor Sleep,3.71
,Female,Smartphone,Poor Sleep,6.1
,Female,Smartphone,Poor Sleep,5.37
,Male,Smartphone,Poor Sleep,5.25
,Male,Smartphone,Poor Sleep,5.6
,Female,Tablet,Poor Sleep,6.27
,Male,Smartphone,Poor Sleep,3.79
,Male,Smartphone,Poor Sleep,5.88
,Male,TV,Poor Sleep,5.27
,Female,Smartphone,Poor Sleep,3.62
,Female,Tablet,Poor Sleep,3.26
,Male,Tablet,Poor Sleep,4.64
,Male,Smartphone,Poor Sleep,4.09
,Male,Smartphone,Poor Sleep,4.7
,Female,TV,Poor Sleep,6.15
,Male,Smartphone,Poor Sleep,4.36
,Female,Smartphone,Poor Sleep,8.01
,Female,TV,Poor Sleep,4.5
,Male,Smartphone,Poor Sleep,4.89
,Female,TV,Poor Sleep,4.76
,Male,Smartphone,Poor Sleep,4.31
,Female,Smartphone,Poor Sleep,4.44
,Male,Smartphone,Poor Sleep,4.94
,Male,Smartphone,Poor Sleep,8.44
,Male,TV,Poor Sleep,7.35
,Male,Smartphone,Poor Sleep,5.51
,Male,Tablet,Poor Sleep,6.11
,Female,Smartphone,Poor Sleep,5.6
,Male,TV,Poor Sleep,4.94
,Male,Tablet,Poor Sleep,3.67
,Female,TV,Poor Sleep,5.75
,Male,Tablet,Poor Sleep,6.12
,Male,TV,Poor Sleep,6.87
,Female,Smartphone,Poor Sleep,4.54
,Male,Smartphone,Poor Sleep,3.54
,Female,TV,Poor Sleep,4.38
,Female,TV,Poor Sleep,6.63
,Female,Laptop,Poor Sleep,5.13
,Female,TV,Poor Sleep,4.51
,Female,Smartphone,Poor Sleep,4.79
,Male,Laptop,Poor Sleep,3.17
,Male,Smartphone,Poor Sleep,4.23
,Male,Smartphone,Poor Sleep,5.02
,Female,TV,Poor Sleep,5.94
,Female,TV,Poor Sleep,6.07
,Male,Smartphone,Poor Sleep,3.53
,Female,Smartphone,Poor Sleep,6.9
,Male,TV,Poor Sleep,4.05
,Female,TV,Poor Sleep,7.44
,Female,TV,Poor Sleep,4.44
,Female,Tablet,Poor Sleep,3.4
,Male,Smartphone,Poor Sleep,5.45
,Male,TV,Poor Sleep,6.3
,Male,Smartphone,Poor Sleep,4.16
,Male,Smartphone,Poor Sleep,3.71
,Male,Tablet,Poor Sleep,4.69
,Female,Tablet,Poor Sleep,3.36
,Female,Smartphone,Poor Sleep,5.95
,Male,TV,Poor Sleep,3.93
,Female,Tablet,Poor Sleep,5.75
,Male,Laptop,Poor Sleep,4.05
,Female,Smartphone,Poor Sleep,6.01
,Female,Tablet,Poor Sleep,3.01
,Male,TV,Poor Sleep,3.86
,Male,Tablet,Poor Sleep,4.4
,Female,Smartphone,Poor Sleep,6.52
,Female,Smartphone,Poor Sleep,4.92
,Female,Laptop,Poor Sleep,5.43
,Female,Smartphone,Poor Sleep,4.43
,Female,Laptop,Poor Sleep,5.77
,Male,Smartphone,Poor Sleep,4.73
,Female,TV,Poor Sleep,3.88
,Male,Smartphone,Poor Sleep,4.48
,Female,TV,Poor Sleep,5.54
,Female,Smartphone,Poor Sleep,9.71
,Male,TV,Poor Sleep,4.52
,Female,Smartphone,Poor Sleep,4.79
,Female,Tablet,Poor Sleep,3.56
,Male,Tablet,Poor Sleep,10.49
,Male,Laptop,Poor Sleep,4.91
,Male,Smartphone,Poor Sleep,4.76
,Male,Smartphone,Poor Sleep,5.34
,Female,Laptop,Poor Sleep,4.32
,Male,TV,Poor Sleep,5.98
,Male,Smartphone,Poor Sleep,3.48
,Female,Smartphone,Poor Sleep,7.45
,Female,Smartphone,Poor Sleep,7.53
,Female,TV,Poor Sleep,5.54
,Male,Smartphone,Poor Sleep,6.0
,Female,Smartphone,Poor Sleep,4.9
,Male,Smartphone,Poor Sleep,3.99
,Female,Tablet,Poor Sleep,7.25
,Female,Smartphone,Poor Sleep,4.29
,Male,Tablet,Poor Sleep,5.34
,Female,Laptop,Poor Sleep,3.04
,Male,Tablet,Poor Sleep,7.38
,Male,Smartphone,Poor Sleep,4.98
,Female,Smartphone,Poor Sleep,3.2
,Female,Tablet,Poor Sleep,5.06
,Male,TV,Poor Sleep,3.58
,Female,TV,Poor Sleep,6.41
,Male,TV,Poor Sleep,5.7
,Male,TV,Poor Sleep,4.0
,Male,Smartphone,Poor Sleep,5.77
,Female,TV,Poor Sleep,5.01
,Male,Smartphone,Poor Sleep,4.64
,Male,Laptop,Poor Sleep,4.56
,Male,Laptop,Poor Sleep,4.04
,Female,Tablet,Poor Sleep,6.62
,Male,Smartphone,Poor Sleep,4.92
,Male,Tablet,Poor Sleep,4.2
,Male,TV,Poor Sleep,6.55
,Male,Smartphone,Poor Sleep,4.85
,Male,Smartphone,Poor Sleep,4.51
,Male,Smartphone,Poor Sleep,4.83
,Female,Laptop,Poor Sleep,4.67
,Female,Laptop,Poor Sleep,4.79
,Male,Smartphone,Poor Sleep,4.34
,Female,Laptop,Poor Sleep,3.1
,Male,Smartphone,Poor Sleep,3.64
,Female,Tablet,Poor Sleep,5.52
,Female,TV,Poor Sleep,4.94
,Male,Smartphone,Poor Sleep,4.31
,Male,Smartphone,Poor Sleep,4.52
,Male,Smartphone,Poor Sleep,3.73
,Female,Laptop,Poor Sleep,3.8
,Female,TV,Poor Sleep,5.25
,Male,Smartphone,Poor Sleep,4.23
,Female,Smartphone,Poor Sleep,11.33
,Female,Tablet,Poor Sleep,5.63
,Male,Smartphone,Poor Sleep,4.18
,Female,TV,Poor Sleep,3.26
,Male,TV,Poor Sleep,8.84
,Female,Laptop,Poor Sleep,4.6
,Male,TV,Poor Sleep,5.59
,Female,Laptop,Poor Sleep,5.05
,Male,Laptop,Poor Sleep,3.44
,Female,TV,Poor Sleep,4.67
,Female,TV,Poor Sleep,5.16
,Female,Smartphone,Poor Sleep,4.05
,Female,Smartphone,Poor Sleep,5.41
,Male,TV,Poor Sleep,4.15
,Female,TV,Poor Sleep,4.21
,Female,TV,Poor Sleep,5.96
,Male,Laptop,Poor Sleep,5.4
,Male,Tablet,Poor Sleep,5.88
,Female,Laptop,Poor Sleep,4.56
,Female,TV,Poor Sleep,6.03
,Male,TV,Poor Sleep,4.9
,Female,Smartphone,Poor Sleep,4.25
,Female,Smartphone,Poor Sleep,5.57
,Female,TV,Poor Sleep,4.31
,Male,Tablet,Poor Sleep,8.2
,Female,Laptop,Poor Sleep,4.03
,Female,Laptop,Poor Sleep,3.84
,Female,Laptop,Poor Sleep,4.96
,Male,Smartphone,Poor Sleep,3.24
,Male,TV,Poor Sleep,4.34
,Male,Smartphone,Poor Sleep,5.15
,Male,Smartphone,Poor Sleep,3.56
,Female,Smartphone,Poor Sleep,6.02
,Female,Laptop,Poor Sleep,4.86
,Male,Smartphone,Poor Sleep,5.8
,Female,TV,Poor Sleep,4.49
,Male,TV,Poor Sleep,4.42
,Male,Smartphone,Poor Sleep,3.42
,Female,Laptop,Poor Sleep,4.54
,Male,Laptop,Poor Sleep,5.58
,Male,Laptop,Poor Sleep,3.06
,Female,TV,Poor Sleep,4.97
,Male,TV,Poor Sleep,6.95
,Male,TV,Poor Sleep,5.73
,Male,Laptop,Poor Sleep,5.13
,Male,Smartphone,Poor Sleep,6.51
,Male,Laptop,Poor Sleep,5.42
,Male,Smartphone,Poor Sleep,4.83
,Female,Tablet,Poor Sleep,6.35
,Female,Tablet,Poor Sleep,4.18
,Female,Laptop,Poor Sleep,3.73
,Female,Smartphone,Poor Sleep,7.04
,Male,Smartphone,Poor Sleep,4.26
,Male,Smartphone,Poor Sleep,3.81
,Female,TV,Poor Sleep,5.93
,Male,Tablet,Poor Sleep,3.54
,Female,Smartphone,Poor Sleep,5.1
,Male,Laptop,Poor Sleep,5.41
,Female,TV,Poor Sleep,6.18
,Female,Smartphone,Poor Sleep,4.82
,Male,Smartphone,Poor Sleep,5.88
,Female,TV,Poor Sleep,6.58
,Male,Smartphone,Poor Sleep,3.47
,Female,Laptop,Poor Sleep,5.24
,Male,TV,Poor Sleep,4.88
,Female,Laptop,Poor Sleep,4.94
,Male,Smartphone,Poor Sleep,4.9
,Male,Laptop,Poor Sleep,4.02
,Male,Smartphone,Poor Sleep,4.68
,Female,Tablet,Poor Sleep,5.36
,Female,Smartphone,Poor Sleep,4.93
,Female,Smartphone,Poor Sleep,3.45
,Female,Tablet,Poor Sleep,3.45
,Female,Smartphone,Poor Sleep,4.34
,Male,Laptop,Poor Sleep,3.63
,Male,Smartphone,Poor Sleep,4.06
,Male,Smartphone,Poor Sleep,3.24
,Female,TV,Poor Sleep,4.09
,Male,Smartphone,Poor Sleep,4.04
,Female,Tablet,Poor Sleep,3.57
,Female,Laptop,Poor Sleep,5.27
,Female,TV,Poor Sleep,3.65
,Female,Smartphone,Poor Sleep,8.18
,Male,Smartphone,Poor Sleep,6.47
,Male,Smartphone,Poor Sleep,4.03
,Female,Smartphone,Poor Sleep,7.16
,Female,TV,Poor Sleep,5.49
,Female,Smartphone,Poor Sleep,5.87
,Male,Smartphone,Poor Sleep,3.79
,Female,Laptop,Poor Sleep,3.57
,Male,TV,Poor Sleep,3.74
,Male,TV,Poor Sleep,4.83
,Male,TV,Poor Sleep,4.17
,Female,Smartphone,Poor Sleep,4.53
,Male,TV,Poor Sleep,3.06
,Female,Smartphone,Poor Sleep,4.87
,Female,Smartphone,Poor Sleep,3.97
,Female,TV,Poor Sleep,9.92
,Female,Smartphone,Poor Sleep,3.85
,Male,Smartphone,Poor Sleep,3.88
,Male,Laptop,Poor Sleep,3.53
,Male,Smartphone,Poor Sleep,4.79
,Female,Smartphone,Poor Sleep,4.16
,Female,Smartphone,Poor Sleep,3.28
,Female,Tablet,Poor Sleep,5.45
,Male,Laptop,Poor Sleep,4.86
,Female,TV,Poor Sleep,3.67
,Female,Smartphone,Poor Sleep,6.06
,Female,TV,Poor Sleep,3.5
,Female,Tablet,Poor Sleep,5.97
,Female,Smartphone,Poor Sleep,4.45
,Male,Smartphone,Poor Sleep,4.21
,Male,Smartphone,Poor Sleep,5.6
,Female,Smartphone,Poor Sleep,4.31
,Male,Laptop,Poor Sleep,3.99
,Male,Tablet,Poor Sleep,3.21
,Male,TV,Poor Sleep,3.5
,Male,Smartphone,Poor Sleep,5.91
,Female,Tablet,Poor Sleep,5.58
,Male,Smartphone,Poor Sleep,3.19
,Female,Tablet,Poor Sleep,8.03
,Male,TV,Poor Sleep,4.75
,Female,Tablet,Poor Sleep,6.41
,Female,Laptop,Poor Sleep,3.81
,Male,Tablet,Poor Sleep,8.92
,Male,Smartphone,Poor Sleep,4.78
,Female,TV,Poor Sleep,11.02
,Female,Laptop,Poor Sleep,6.71
,Female,Smartphone,Poor Sleep,7.97
,Female,Smartphone,Poor Sleep,4.62
,Male,Smartphone,Poor Sleep,5.62
,Male,Smartphone,Poor Sleep,6.4
,Male,Smartphone,Poor Sleep,3.17
,Female,Smartphone,Poor Sleep,4.03
,Male,TV,Poor Sleep,4.67
,Male,Smartphone,Poor Sleep,4.81
,Male,TV,Poor Sleep,11.22
,Male,TV,Poor Sleep,5.72
,Female,Smartphone,Poor Sleep,3.91
,Male,TV,Poor Sleep,3.36
,Male,Smartphone,Poor Sleep,3.12
,Male,TV,Poor Sleep,3.39
,Male,Laptop,Poor Sleep,4.54
,Male,Smartphone,Poor Sleep,3.57
,Male,Laptop,Poor Sleep,5.25
,Female,Tablet,Poor Sleep,4.95
,Male,Tablet,Poor Sleep,7.19
,Female,Smartphone,Poor Sleep,6.61
,Male,Smartphone,Poor Sleep,4.75
,Female,Tablet,Poor Sleep,5.58
,Male,Tablet,Poor Sleep,5.11
,Male,Laptop,Poor Sleep,5.07
,Female,Laptop,Poor Sleep,5.21
,Male,Smartphone,Poor Sleep,3.21
,Female,Smartphone,Poor Sleep,3.36
,Male,Smartphone,Poor Sleep,5.86
,Male,TV,Poor Sleep,4.33
,Female,Smartphone,Poor Sleep,3.21
,Male,Tablet,Poor Sleep,5.72
,Male,Smartphone,Poor Sleep,3.12
,Female,Laptop,Poor Sleep,7.29
,Male,Smartphone,Poor Sleep,4.32
,Female,Smartphone,Poor Sleep,4.12
,Male,Laptop,Poor Sleep,5.23
,Female,Tablet,Poor Sleep,6.38
,Male,Tablet,Poor Sleep,7.46
,Female,Smartphone,Poor Sleep,4.93
,Male,Smartphone,Poor Sleep,4.85
,Female,Smartphone,Poor Sleep,5.06
,Male,Smartphone,Poor Sleep,3.35
,Male,Smartphone,Poor Sleep,3.67
,Male,Smartphone,Poor Sleep,4.58
,Male,TV,Poor Sleep,3.95
,Male,Laptop,Poor Sleep,6.38
,Female,TV,Poor Sleep,5.02
,Male,TV,Poor Sleep,4.39
,Male,TV,Poor Sleep,3.4
,Female,Smartphone,Poor Sleep,7.68
,Male,Smartphone,Poor Sleep,3.2
,Male,Tablet,Poor Sleep,4.33
,Male,TV,Poor Sleep,4.41
,Female,Laptop,Poor Sleep,4.7
,Female,TV,Poor Sleep,4.96
,Female,Laptop,Poor Sleep,5.85
,Female,Tablet,Poor Sleep,4.42
,Male,Laptop,Poor Sleep,7.21
,Male,Laptop,Poor Sleep,3.04
,Male,Smartphone,Poor Sleep,5.22
,Female,Smartphone,Poor Sleep,4.63
,Female,Laptop,Poor Sleep,5.11
,Male,Tablet,Poor Sleep,5.48
,Male,Smartphone,Poor Sleep,5.69
,Female,Smartphone,Poor Sleep,4.72
,Female,Smartphone,Poor Sleep,3.18
,Male,Smartphone,Poor Sleep,4.54
,Male,Smartphone,Poor Sleep,7.52
,Female,Smartphone,Poor Sleep,3.42
,Female,TV,Poor Sleep,4.32
,Female,Smartphone,Poor Sleep,5.02
