Income,Cars,Commute Distance,Age,Purchased Bike
80000,0,0-1 Miles,43,No
70000,2,2-5 Miles,43,Yes
60000,3,5-10 Miles,42,No
10000,2,1-2 Miles,53,Yes
40000,2,0-1 Miles,28,Yes
50000,1,0-1 Miles,35,No
70000,1,2-5 Miles,59,Yes
20000,2,1-2 Miles,49,No
60000,2,1-2 Miles,48,Yes
80000,2,1-2 Miles,50,No
40000,2,5-10 Miles,28,Yes
30000,1,5-10 Miles,52,No
30000,1,2-5 Miles,52,Yes
50000,2,5-10 Miles,69,No
60000,2,5-10 Miles,51,No
70000,2,1-2 Miles,57,Yes
60000,1,5-10 Miles,27,Yes
30000,2,0-1 Miles,25,Yes
50000,0,1-2 Miles,33,Yes
60000,2,2-5 Miles,43,Yes
70000,2,5-10 Miles,73,No
40000,1,5-10 Miles,27,No
40000,2,5-10 Miles,28,Yes
40000,2,0-1 Miles,27,Yes
40000,2,5-10 Miles,31,No
10000,2,1-2 Miles,53,No
60000,2,1-2 Miles,32,Yes
30000,2,1-2 Miles,50,Yes
40000,2,5-10 Miles,69,No
70000,2,5-10 Miles,52,Yes
60000,2,1-2 Miles,31,No
70000,2,10+ Miles,61,No
70000,2,10+ Miles,53,No
70000,2,1-2 Miles,62,Yes
40000,2,1-2 Miles,30,No
60000,0,2-5 Miles,43,Yes
60000,0,2-5 Miles,42,Yes
40000,1,5-10 Miles,30,No
40000,2,5-10 Miles,30,No
110000,1,5-10 Miles,43,No
60000,2,5-10 Miles,33,Yes
30000,2,5-10 Miles,32,No
70000,0,5-10 Miles,50,Yes
110000,3,0-1 Miles,37,Yes
70000,1,1-2 Miles,52,Yes
70000,0,2-5 Miles,36,Yes
80000,2,2-5 Miles,41,Yes
40000,2,5-10 Miles,26,No
170000,4,0-1 Miles,66,No
60000,2,5-10 Miles,51,No
70000,2,0-1 Miles,43,Yes
60000,0,0-1 Miles,39,No
70000,1,0-1 Miles,37,Yes
70000,2,2-5 Miles,54,Yes
60000,0,2-5 Miles,40,Yes
40000,2,5-10 Miles,28,No
60000,0,0-1 Miles,33,No
80000,2,2-5 Miles,41,Yes
80000,0,0-1 Miles,37,Yes
70000,2,10+ Miles,53,No
120000,3,5-10 Miles,64,No
60000,1,2-5 Miles,45,Yes
80000,2,1-2 Miles,52,No
40000,2,10+ Miles,60,No
20000,2,1-2 Miles,50,No
70000,1,1-2 Miles,56,No
40000,2,5-10 Miles,29,No
130000,2,0-1 Miles,38,Yes
40000,2,2-5 Miles,60,No
130000,4,0-1 Miles,67,No
60000,1,5-10 Miles,32,Yes
50000,1,0-1 Miles,39,Yes
60000,0,2-5 Miles,35,Yes
60000,2,5-10 Miles,32,No
30000,1,1-2 Miles,31,No
40000,1,5-10 Miles,27,No
60000,1,0-1 Miles,47,Yes
40000,1,0-1 Miles,42,No
30000,2,1-2 Miles,49,No
30000,1,5-10 Miles,32,No
20000,2,1-2 Miles,53,Yes
50000,0,1-2 Miles,32,Yes
80000,1,0-1 Miles,38,Yes
40000,2,5-10 Miles,31,No
80000,1,0-1 Miles,38,Yes
60000,2,10+ Miles,55,No
70000,1,5-10 Miles,49,No
30000,3,10+ Miles,60,Yes
110000,4,1-2 Miles,42,No
60000,1,0-1 Miles,46,No
60000,2,10+ Miles,55,No
70000,2,5-10 Miles,53,Yes
50000,2,2-5 Miles,40,No
30000,1,5-10 Miles,53,Yes
70000,0,2-5 Miles,38,Yes
30000,2,0-1 Miles,26,No
70000,2,2-5 Miles,61,No
50000,2,5-10 Miles,71,No
90000,2,1-2 Miles,45,No
80000,0,0-1 Miles,37,Yes
80000,2,0-1 Miles,72,Yes
30000,0,0-1 Miles,32,No
60000,1,2-5 Miles,48,Yes
80000,2,5-10 Miles,68,No
20000,2,0-1 Miles,49,No
70000,0,2-5 Miles,34,No
50000,0,0-1 Miles,32,No
60000,2,0-1 Miles,42,No
70000,0,0-1 Miles,35,Yes
40000,1,0-1 Miles,48,No
100000,3,2-5 Miles,73,Yes
70000,2,2-5 Miles,43,Yes
60000,0,0-1 Miles,35,No
70000,0,0-1 Miles,35,Yes
50000,2,1-2 Miles,64,Yes
50000,0,0-1 Miles,34,Yes
30000,2,0-1 Miles,28,No
70000,3,10+ Miles,60,Yes
70000,3,10+ Miles,46,No
40000,2,0-1 Miles,44,Yes
60000,2,2-5 Miles,42,Yes
80000,0,2-5 Miles,40,No
90000,1,5-10 Miles,73,No
60000,0,0-1 Miles,36,Yes
90000,1,1-2 Miles,38,Yes
60000,0,2-5 Miles,34,Yes
50000,2,10+ Miles,63,No
50000,2,2-5 Miles,41,Yes
60000,0,1-2 Miles,39,Yes
40000,2,2-5 Miles,46,No
80000,2,5-10 Miles,64,No
40000,1,1-2 Miles,32,No
60000,0,2-5 Miles,36,Yes
80000,0,0-1 Miles,47,No
60000,2,10+ Miles,64,No
70000,0,0-1 Miles,35,Yes
110000,4,2-5 Miles,40,Yes
70000,2,5-10 Miles,34,Yes
40000,2,10+ Miles,61,No
30000,2,1-2 Miles,51,No
70000,1,5-10 Miles,49,Yes
40000,2,1-2 Miles,54,Yes
70000,2,1-2 Miles,53,Yes
90000,1,2-5 Miles,48,Yes
50000,0,1-2 Miles,33,Yes
40000,2,10+ Miles,57,No
70000,0,2-5 Miles,39,No
60000,2,5-10 Miles,48,No
60000,2,5-10 Miles,50,No
70000,3,10+ Miles,47,No
40000,1,1-2 Miles,49,Yes
40000,2,0-1 Miles,27,Yes
60000,2,5-10 Miles,29,No
60000,0,2-5 Miles,59,No
60000,1,0-1 Miles,45,Yes
60000,2,2-5 Miles,60,No
70000,0,0-1 Miles,36,Yes
40000,2,5-10 Miles,27,No
80000,2,1-2 Miles,50,No
60000,0,1-2 Miles,35,No
60000,0,2-5 Miles,34,Yes
40000,2,5-10 Miles,54,No
60000,2,0-1 Miles,42,No
50000,0,2-5 Miles,34,Yes
50000,1,0-1 Miles,38,Yes
90000,2,1-2 Miles,63,Yes
90000,3,1-2 Miles,45,Yes
60000,0,0-1 Miles,40,No
70000,2,10+ Miles,53,No
70000,0,2-5 Miles,34,No
70000,1,0-1 Miles,38,No
70000,1,1-2 Miles,59,No
40000,1,1-2 Miles,30,Yes
60000,1,0-1 Miles,48,Yes
40000,2,2-5 Miles,43,No
70000,0,2-5 Miles,35,Yes
60000,2,5-10 Miles,30,No
90000,0,0-1 Miles,47,Yes
60000,1,2-5 Miles,45,Yes
100000,4,1-2 Miles,45,No
120000,3,5-10 Miles,62,No
60000,2,10+ Miles,55,No
90000,2,1-2 Miles,66,Yes
70000,1,10+ Miles,56,No
50000,1,0-1 Miles,40,No
50000,0,1-2 Miles,33,Yes
80000,1,1-2 Miles,56,No
30000,2,5-10 Miles,27,No
60000,0,0-1 Miles,39,No
60000,2,5-10 Miles,31,No
60000,2,1-2 Miles,51,No
30000,1,5-10 Miles,52,No
60000,1,0-1 Miles,47,No
70000,2,5-10 Miles,53,Yes
70000,0,0-1 Miles,35,Yes
60000,2,10+ Miles,66,No
80000,2,5-10 Miles,65,No
80000,3,5-10 Miles,45,No
40000,1,5-10 Miles,31,No
80000,3,10+ Miles,40,Yes
110000,4,2-5 Miles,46,No
40000,1,1-2 Miles,47,Yes
130000,2,0-1 Miles,41,No
60000,2,1-2 Miles,48,Yes
50000,2,0-1 Miles,42,No
40000,4,10+ Miles,60,Yes
60000,2,10+ Miles,66,No
70000,2,10+ Miles,63,No
60000,3,10+ Miles,42,No
30000,2,5-10 Miles,26,No
60000,0,2-5 Miles,36,Yes
90000,0,5-10 Miles,49,Yes
150000,3,0-1 Miles,44,Yes
80000,3,1-2 Miles,46,No
60000,2,2-5 Miles,54,Yes
70000,0,2-5 Miles,35,Yes
60000,0,0-1 Miles,38,Yes
100000,3,1-2 Miles,38,No
60000,2,10+ Miles,53,Yes
